Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:eval,advcl:purp,advcl:quote,advcl:seq,advcl:tcl,appos,aux,aux:neg,aux:opt,cc,ccomp,ccomp:obj,ccomp:purp,ccomp:quote,compound,compound:svc,conj,cop,csubj,dep,dep:infl,discourse,nsubj,parataxis,reparandum,root,xcomp,xcomp:lo,xcomp:obj
gun_dooley-ud-test,1046,0,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ess_sli-ud-test,309,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,
apu_ufpa-ud-test,161,0,65,,1.0,1.0,3.0,,,,,,,,,,,,5.0,,,,,,,15.0,,1.0,,,,,,,39.0,,,
mdf_jr-ud-test,454,0,107,,,1.0,7.0,,,,,,,1.0,,,3.0,,,6.0,,,,,,26.0,,,,,,,7.0,,56.0,,,
mdf_jr-ud-train,20,0,5,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,3.0,,,
bor_bdt-ud-test,881,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
myv_jr-ud-test,921,0,246,,1.0,3.0,5.0,,,,,,,,2.0,,10.0,3.0,,2.0,,,,2.0,,102.0,,,,,1.0,,8.0,,105.0,2.0,,
myv_jr-ud-train,1217,0,251,,,2.0,9.0,,,1.0,,,,,4.0,1.0,9.0,2.0,,1.0,,,,,,54.0,,2.0,,,,,14.0,,151.0,1.0,,
quc_iu-ud-test,1435,0,602,,38.0,,26.0,,,,,,,,,,,,,28.0,,,,,,11.0,,16.0,,,,,29.0,,444.0,10.0,,
gun_thomas-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,93,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,14.0,,74.0,2.0,,
myu_tudet-ud-test,158,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
wbp_ufal-ud-test,55,0,4,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,648,,28.0,8.0,67.0,,,,,,,,,,,,,35.0,,,,,,140.0,,10.0,,,1.0,,56.0,,279.0,24.0,,
ka_glc-ud-test,151,0,130,,6.0,,3.0,,,,,,,,,7.0,,,,20.0,,,,,,16.0,1.0,1.0,,,,,6.0,,70.0,,,
gn_oldtudet-ud-test,59,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
azz_itml-ud-test,1260,0,840,3.0,1.0,60.0,69.0,,,,,,,,2.0,,,,,29.0,,,,,,123.0,,14.0,6.0,,,,134.0,1.0,392.0,6.0,,
ab_abnc-ud-test,263,0,206,,,2.0,10.0,3.0,26.0,,2.0,9.0,10.0,,,,,,,,4.0,2.0,13.0,,,27.0,,4.0,,,,1.0,11.0,,79.0,,2.0,1.0
