Treebank,Number of Sentences,Failures,Total,amod,aux,aux:cnd,aux:neg,aux:pass,cc:preconj,conj,cop,parataxis,root
egy_ujaen-ud-test,721,0,4,,4.0,,,,,,,,
vi_tuecl-ud-test,100,0,19,1.0,6.0,,,11.0,,,,1.0,
mdf_jr-ud-test,454,0,99,,,4.0,87.0,,1.0,4.0,2.0,,1.0
mdf_jr-ud-train,20,0,4,,,,3.0,,,,1.0,,
myv_jr-ud-test,921,0,43,,,,43.0,,,,,,
myv_jr-ud-train,1217,0,113,,2.0,4.0,106.0,,,1.0,,,
af_afribooms-ud-train,1315,0,200,,199.0,,,,,,,,1.0
af_afribooms-ud-dev,194,0,46,,46.0,,,,,,,,
af_afribooms-ud-test,425,0,176,,176.0,,,,,,,,
nds_lsdc-ud-test,500,0,32,,29.0,,,3.0,,,,,
koi_uh-ud-train,34,0,2,,,,2.0,,,,,,
