Treebank,Number of Sentences,Failures,Total,punct
pl_pdb-ud-test,2215,0,101,101
pl_pdb-ud-train,17722,0,754,754
pl_pdb-ud-dev,2215,0,128,128
es_ancora-ud-train,14287,0,1848,1848
es_ancora-ud-test,1721,0,179,179
es_ancora-ud-dev,1654,0,253,253
is_pud-ud-test,1000,0,119,119
mdf_jr-ud-test,454,0,10,10
myv_jr-ud-test,921,0,1,1
myv_jr-ud-train,1217,0,39,39
ca_ancora-ud-dev,1709,0,208,208
ca_ancora-ud-test,1846,0,198,198
ca_ancora-ud-train,13123,0,1531,1531
pl_pud-ud-test,1000,0,145,145
fi_ftb-ud-dev,1875,0,18,18
fi_ftb-ud-train,14981,0,191,191
fi_ftb-ud-test,1867,0,19,19
pl_lfg-ud-test,1727,0,5,5
pl_lfg-ud-train,13774,0,72,72
pl_lfg-ud-dev,1745,0,5,5
es_coser-ud-test,539,0,182,182
