Treebank,Number of Sentences,Failures,Total,advcl,advmod,advmod:tmod,amod,amod:att,appos,compound,compound:redup,conj,dep,det,flat,flat:dist,nmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,root,xcomp
hu_szeged-ud-dev,441,0,4,,,,,,,,,,,,,,,,,4.0,,,,,,
hu_szeged-ud-test,449,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,
la_circse-ud-test,1263,0,22,,,,14.0,,,,,3.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,
la_perseus-ud-test,939,0,4,,,,1.0,,,,,,,,,,,,,,3.0,,,,,
la_perseus-ud-train,1334,0,8,,,,3.0,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,
tr_kenet-ud-dev,1646,0,8,,1.0,,6.0,,,,,,,,,,,1.0,,,,,,,,
tr_kenet-ud-test,1643,0,6,,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,86,,17.0,,51.0,,,16.0,,1.0,,,,,,1.0,,,,,,,,
hy_bsut-ud-test,595,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,
mdf_jr-ud-test,454,0,2,,,,2.0,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,68,,,,68.0,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,72,,,,71.0,,,,,,,,,,1.0,,,,,,,,,
la_llct-ud-train,7289,0,410,,,,404.0,,,,,,,,,,1.0,,,,,5.0,,,,
myv_jr-ud-test,921,0,5,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,,,,
myv_jr-ud-train,1217,0,6,1.0,1.0,,,,,,,,,,,,,1.0,,3.0,,,,,,
tr_framenet-ud-train,2288,0,5,,,,5.0,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,
kpv_lattice-ud-test,643,0,5,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0
tr_gb-ud-test,2880,0,19,,,,,,,1.0,3.0,2.0,,,,,1.0,,,10.0,,1.0,,,1.0,
hy_armtdp-ud-train,1974,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
ota_boun-ud-test,400,0,3,,,,,,,,,,,,,,,,,3.0,,,,,,
koi_uh-ud-test,94,0,2,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
la_udante-ud-train,926,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,
la_udante-ud-test,419,0,2,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-dev,694,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,10,,,,2.0,,1.0,,,3.0,,,3.0,,,,,1.0,,,,,,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,
la_ittb-ud-dev,2101,0,4,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,
la_ittb-ud-test,2101,0,19,,,,10.0,,,,,1.0,,,,,4.0,,,,1.0,,,3.0,,
la_ittb-ud-train,22775,0,57,,,,24.0,,,,,1.0,,,,,5.0,6.0,,,5.0,12.0,,4.0,,
qtd_sagt-ud-test,805,0,2,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
tr_imst-ud-train,3435,0,5,,,,4.0,,,,,1.0,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,3,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,3,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,
tr_boun-ud-test,979,0,5,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,
tr_boun-ud-train,7803,0,17,,,,3.0,,,,2.0,1.0,,,,,,,,11.0,,,,,,
tr_penn-ud-train,14850,0,3,,,,3.0,,,,,,,,,,,,,,,,,,,
