Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,aux,aux:q,case,ccomp,compound,compound:lvc,compound:redup,conj,cop,csubj,discourse,discourse:q,dislocated,fixed,list,nmod,nmod:poss,nsubj,obj,obl,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,vocative,xcomp
tr_pud-ud-test,1000,0,401,11.0,3.0,2.0,1.0,8.0,,,7.0,24.0,29.0,,45.0,105.0,,,,1.0,,,,2.0,,1.0,,2.0,,,,160.0,,
tr_atis-ud-dev,572,0,85,,,,,,,,,2.0,,,,,,1.0,,,,,,,7.0,,,1.0,,,,74.0,,
tr_atis-ud-train,4274,0,742,,,,,,,,6.0,2.0,,,6.0,,8.0,3.0,,,,,,,20.0,,,17.0,,,,680.0,,
tr_atis-ud-test,586,0,127,,,,,,,,1.0,3.0,,,3.0,,,,,,1.0,,,,6.0,,,1.0,,,,112.0,,
tr_kenet-ud-dev,1646,0,455,11.0,25.0,1.0,,13.0,,1.0,7.0,7.0,,,24.0,,,1.0,,,,,5.0,,8.0,3.0,6.0,69.0,,,,272.0,1.0,1.0
tr_kenet-ud-test,1643,0,476,5.0,35.0,1.0,,6.0,,,13.0,15.0,,,16.0,,,3.0,,,,,,,,,1.0,98.0,,,,283.0,,
tr_kenet-ud-train,15398,0,3549,28.0,128.0,9.0,1.0,58.0,,4.0,95.0,33.0,,,229.0,,6.0,9.0,,,,2.0,33.0,,37.0,9.0,12.0,475.0,,,,2368.0,8.0,5.0
tr_framenet-ud-test,205,0,28,,1.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,,5.0,,,,18.0,,
tr_framenet-ud-train,2288,0,192,,13.0,1.0,,,,,1.0,5.0,,,3.0,,,3.0,,,,,1.0,,1.0,1.0,,25.0,,,,138.0,,
tr_framenet-ud-dev,205,0,8,,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,3.0,,
tr_gb-ud-test,2880,0,414,8.0,11.0,,,14.0,5.0,,4.0,2.0,,1.0,11.0,36.0,,,,,,,,,,,,5.0,,,,317.0,,
qtd_sagt-ud-test,805,0,88,3.0,19.0,,,,,,5.0,,,1.0,16.0,2.0,1.0,,,,,,,,,,,10.0,2.0,,1.0,27.0,,1.0
qtd_sagt-ud-dev,801,0,88,,10.0,,,,,,9.0,,,,22.0,1.0,1.0,,,,,,,,,,,8.0,,,3.0,30.0,,4.0
qtd_sagt-ud-train,578,0,71,2.0,5.0,,,,,,8.0,,,,20.0,6.0,1.0,,,,,,,,,,1.0,6.0,2.0,2.0,1.0,15.0,,2.0
tr_tourism-ud-train,15473,0,1209,,8.0,1.0,,49.0,,1.0,2.0,4.0,,,15.0,,1.0,3.0,,,1.0,,2.0,,1.0,2.0,1.0,88.0,,,,1030.0,,
tr_tourism-ud-dev,2166,0,160,,1.0,,,11.0,,,,,,,3.0,,,,,,,,,,1.0,,,15.0,,,,129.0,,
tr_tourism-ud-test,2191,0,183,,1.0,,,7.0,,,,1.0,,,,,,1.0,,,,,,,,,,15.0,,,,158.0,,
tr_imst-ud-train,3435,0,307,,1.0,,,,3.0,,3.0,17.0,6.0,,22.0,200.0,1.0,,,,,,,,,1.0,,,,,,53.0,,
tr_imst-ud-dev,1100,0,29,,,,,,,,,1.0,1.0,,,21.0,,,,,,,,,,,,,,,,6.0,,
tr_imst-ud-test,1100,0,29,,,,,,,,,,2.0,,,22.0,,,,,,,,,,,,,,,,5.0,,
tr_boun-ud-dev,979,0,63,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,49,,,,,,,,1.0,,1.0,,,47.0,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,321,1.0,,1.0,,4.0,,,2.0,5.0,3.0,,14.0,240.0,,,4.0,,,,,,,,,,,,,47.0,,
tr_penn-ud-dev,622,0,78,,1.0,1.0,,6.0,,,2.0,1.0,,,4.0,,,,,,,,,,1.0,,,1.0,,,,61.0,,
tr_penn-ud-test,924,0,116,,,1.0,,3.0,,,2.0,,,,3.0,,,2.0,,,,,2.0,,,1.0,,7.0,,,,95.0,,
tr_penn-ud-train,14850,0,2080,15.0,11.0,11.0,4.0,74.0,,12.0,62.0,6.0,,,141.0,,,12.0,,,,2.0,9.0,,3.0,3.0,3.0,71.0,,,,1639.0,,2.0
