Treebank,Number of Sentences,Failures,Total,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:consec,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:tcl,advmod,amod,appos,aux,aux:neg,case,ccomp,ccomp:rel,compound,compound:smixut,conj,cop,csubj,csubj:pass,dep,dep:infl,det,dislocated,fixed,flat,flat:name,iobj,list,nmod,nmod:appos,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:result
sl_ssj-ud-test,1282,0,251,9.0,,,,,15.0,,,,,,,,,,,,,14.0,1.0,35.0,,,3.0,,,,9.0,14.0,1.0,,,,15.0,,,,,3.0,,13.0,,,,16.0,,20.0,,15.0,22.0,,,,,,,,,,,,,,6.0,,,,,40.0,,,
sl_ssj-ud-dev,1250,0,204,12.0,,,,,6.0,,,,,,,,,,,,,13.0,,27.0,,,3.0,,,,9.0,14.0,,,,,7.0,,,,,,,13.0,,,,11.0,,28.0,,15.0,18.0,,,,,,,,,,,,,1.0,2.0,,,,,25.0,,,
sl_ssj-ud-train,10903,0,2116,84.0,,,,,66.0,,,,,,,,,,,,,140.0,11.0,308.0,,,41.0,,,,114.0,88.0,4.0,,,,93.0,,,,,29.0,15.0,94.0,,,,177.0,,200.0,,116.0,150.0,,,,,,,,,,,,,2.0,77.0,,,,,297.0,1.0,9.0,
xav_xdt-ud-test,171,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipsgg-ud-test,64,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ar_nyuad-ud-train,15789,0,3998,1.0,,,,,,,,,,,,,,,,,,462.0,,,,,404.0,,2.0,,,35.0,,,1.0,,27.0,,,147.0,,170.0,,328.0,,1082.0,,328.0,,72.0,,851.0,,,,,,,,,,,,,,,,,,1.0,,84.0,,3.0,
ar_nyuad-ud-dev,1986,0,522,,,,,,,,,,,,,,,,,,,49.0,,,,2.0,57.0,,,,,3.0,,,,,1.0,,,24.0,,14.0,,47.0,,144.0,,43.0,,14.0,,111.0,,,,,,,,,,,,,,,,,,,,13.0,,,
ar_nyuad-ud-test,1963,0,589,,,,,,,,,,,,,,,,,,,65.0,,,,1.0,59.0,,1.0,,,4.0,,,,,8.0,,,21.0,,13.0,,48.0,,166.0,,54.0,,7.0,,137.0,,,,,,,,,,,,,,,,,,,,5.0,,,
sa_vedic-ud-test,2709,0,568,18.0,1.0,2.0,,7.0,13.0,1.0,2.0,,,2.0,,2.0,,,4.0,1.0,,7.0,4.0,,,,7.0,,,,72.0,1.0,,,,,26.0,,,27.0,,7.0,,18.0,8.0,,,50.0,,5.0,,53.0,18.0,,,3.0,4.0,2.0,14.0,5.0,5.0,2.0,1.0,,4.0,15.0,2.0,,,,,103.0,44.0,5.0,3.0
sa_vedic-ud-train,21477,0,3426,130.0,1.0,7.0,8.0,18.0,42.0,,22.0,,1.0,5.0,1.0,9.0,1.0,1.0,15.0,5.0,,69.0,11.0,9.0,,,38.0,,,,299.0,42.0,6.0,,,,122.0,1.0,,275.0,,49.0,,140.0,25.0,,,436.0,,49.0,,409.0,102.0,12.0,,5.0,36.0,4.0,98.0,21.0,16.0,15.0,9.0,3.0,13.0,69.0,20.0,,,,,620.0,99.0,20.0,18.0
