Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,advmod:lmod,amod,cc,ccomp,ccomp:relcl,conj,conj:expl,csubj,csubj:pass,csubj:relcl,det,mark,nmod,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,xcomp
la_circse-ud-test,1263,0,64,,,,,1.0,6.0,,7.0,2.0,1.0,2.0,,,,1.0,,,,,30,1.0,,2.0,,2.0,1.0,3.0,,2.0,,,,3.0,
la_perseus-ud-test,939,0,37,,1.0,,,,,,,,,1.0,,,,3.0,,,,,10,,1.0,12.0,,,5.0,2.0,,1.0,,,,,1.0
la_perseus-ud-train,1334,0,93,,,,,,,,,,,1.0,,2.0,,6.0,,,,,36,,11.0,14.0,,3.0,11.0,5.0,,1.0,,,,1.0,2.0
la_llct-ud-dev,850,0,86,,,,,,,,,,,,,,,,,,,,85,,,,,1.0,,,,,,,,,
la_llct-ud-test,884,0,66,,,,,,,,,,,,,,,,,,,,65,,,1.0,,,,,,,,,,,
la_llct-ud-train,7289,0,599,,,,,,,,3.0,,,,,,,19.0,,,,,551,,8.0,1.0,,4.0,7.0,5.0,,1.0,,,,,
la_udante-ud-train,926,0,299,,4.0,3.0,,7.0,8.0,,23.0,34.0,,1.0,,2.0,,46.0,1.0,1.0,2.0,,73,7.0,11.0,21.0,2.0,10.0,10.0,13.0,2.0,11.0,,,,6.0,1.0
la_udante-ud-test,419,0,167,,,1.0,,3.0,3.0,,7.0,11.0,1.0,,,,,14.0,1.0,1.0,,,62,5.0,4.0,10.0,,,7.0,21.0,,9.0,,3.0,,2.0,2.0
la_udante-ud-dev,376,0,77,,,1.0,,2.0,4.0,,5.0,3.0,,,,,,7.0,,,,,27,1.0,1.0,4.0,1.0,,1.0,12.0,1.0,5.0,1.0,,,,1.0
la_ittb-ud-dev,2101,0,311,,5.0,7.0,1.0,,,,22.0,,,,,,,26.0,,2.0,1.0,1.0,120,,19.0,19.0,,6.0,6.0,20.0,17.0,31.0,,2.0,,5.0,1.0
la_ittb-ud-test,2101,0,372,,3.0,3.0,,1.0,,,64.0,,,,,,,32.0,1.0,4.0,,2.0,98,,27.0,21.0,,6.0,50.0,21.0,4.0,18.0,,7.0,,10.0,
la_ittb-ud-train,22775,0,3577,4.0,19.0,53.0,3.0,28.0,213.0,4.0,605.0,1.0,,,1.0,8.0,2.0,277.0,,20.0,2.0,4.0,1167,,200.0,175.0,1.0,58.0,92.0,212.0,65.0,213.0,,49.0,2.0,80.0,19.0
