Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,aux,case,ccomp,compound,conj,cop,dep,discourse,dislocated,nmod,nmod:poss,nsubj,nsubj:pass,obj,obj:agent,obl,obl:subj,parataxis,reparandum,root,xcomp
gun_dooley-ud-test,1046,0,19,1.0,,,,,,,,,,,,1.0,3.0,,9.0,,3.0,,2.0,,,,,
jaa_jarawara-ud-test,20,0,9,,,,,,,,,,,,3.0,,,,5.0,,1.0,,,,,,,
gub_tudet-ud-test,1182,0,38,,2.0,,,1.0,,12.0,,2.0,,,3.0,,1.0,,,,1.0,,3.0,7.0,1.0,,5.0,
ml_ufal-ud-test,218,0,3,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,
bor_bdt-ud-test,881,0,98,,,,1.0,,2.0,2.0,,5.0,,1.0,,,4.0,,34.0,,6.0,,16.0,,11.0,,16.0,
id_gsd-ud-train,4482,0,48,,,,,,,,,,,,,,2.0,8.0,33.0,2.0,3.0,,,,,,,
id_gsd-ud-test,557,0,11,,,,,,,,,,,,,,2.0,3.0,5.0,1.0,,,,,,,,
id_gsd-ud-dev,559,0,7,,,,,,,,,,,,,,,2.0,2.0,,2.0,,1.0,,,,,
id_pud-ud-test,1000,0,19,,,,,,,,,,,,,,,6.0,11.0,,2.0,,,,,,,
gun_thomas-ud-test,98,0,10,,,,,,,,,,,,,,,,4.0,,2.0,,2.0,,,2.0,,
tpn_tudet-ud-test,581,0,53,,4.0,,1.0,,,,,2.0,,1.0,,,11.0,,6.0,,3.0,,10.0,,4.0,,10.0,1.0
ceb_gja-ud-test,188,0,5,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,
tl_trg-ud-test,128,0,2,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
id_csui-ud-test,374,0,14,,,,,,,,,,,,,,,2.0,11.0,,,,1.0,,,,,
id_csui-ud-train,656,0,30,,,,,,,,,,,,,,,4.0,26.0,,,,,,,,,
sjo_xdt-ud-test,810,0,15,,,1.0,,,,,,,,,,,,3.0,9.0,,,,2.0,,,,,
arr_tudet-ud-test,674,0,12,,,,,2.0,,,,,,,,,1.0,,4.0,,1.0,,,,,,4.0,
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
eme_tudet-ud-test,913,0,75,,3.0,,,,1.0,1.0,2.0,,3.0,,2.0,1.0,1.0,,4.0,,4.0,,12.0,,7.0,,34.0,
aqz_tudet-ud-test,343,0,7,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,4.0,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,
