Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,advmod:emph,aux,aux:clitic,case,ccomp,conj,cop,csubj,det,fixed,iobj,nmod,nmod:arg,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,orphan,parataxis,parataxis:insert,parataxis:obj,root,xcomp
pl_pdb-ud-test,2215,0,555,,,,6.0,,103.0,73.0,,2.0,,,,1.0,40.0,110.0,13.0,1.0,35.0,2.0,86.0,37.0,5.0,37.0,1.0,,,1.0,1.0,1.0,
pl_pdb-ud-train,17722,0,4589,1.0,1.0,,65.0,,847.0,586.0,,19.0,,1.0,,16.0,309.0,709.0,74.0,150.0,417.0,28.0,650.0,356.0,31.0,294.0,12.0,4.0,,8.0,1.0,7.0,3.0
pl_pdb-ud-dev,2215,0,540,,,,6.0,,100.0,64.0,,,,,,1.0,42.0,85.0,6.0,14.0,35.0,5.0,74.0,55.0,3.0,48.0,2.0,,,,,,
ro_nonstandard-ud-test,1052,0,17,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,3.0,,,11.0,
ro_nonstandard-ud-dev,1052,0,4,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,
ro_nonstandard-ud-train,24121,0,168,4.0,12.0,,,2.0,,,4.0,43.0,9.0,3.0,,,,,,,,,,3.0,,,,,22.0,,,61.0,5.0
mdf_jr-ud-test,454,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
myv_jr-ud-test,921,0,13,,,,,,,,,2.0,,,,,,2.0,,,,,,7.0,1.0,,,,,,,1.0,
myv_jr-ud-train,1217,0,23,,,,,,,,1.0,2.0,,,1.0,,,1.0,,,,,,16.0,2.0,,,,,,,,
pl_pud-ud-test,1000,0,246,,,,2.0,,14.0,36.0,,1.0,,,,4.0,11.0,27.0,1.0,88.0,13.0,2.0,26.0,7.0,2.0,12.0,,,,,,,
pl_lfg-ud-test,1727,0,331,,,,,,70.0,28.0,1.0,,,,,,18.0,10.0,,46.0,31.0,4.0,63.0,58.0,2.0,,,,,,,,
pl_lfg-ud-train,13774,0,2473,,,2.0,,,681.0,206.0,,2.0,,,,,131.0,67.0,,311.0,240.0,12.0,373.0,437.0,3.0,,,,,,,8.0,
pl_lfg-ud-dev,1745,0,301,,,,,,80.0,25.0,,1.0,,,,,19.0,10.0,,38.0,24.0,,62.0,41.0,,,,,,,,1.0,
