Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,ccomp,compound,compound:lvc,conj,csubj,csubj:cop,nmod,nmod:poss,nsubj,obj,obl,parataxis,root,xcomp
xcl_caval-ud-train,3185,0,6,,,,,,,1.0,,,,,,,,1.0,4,
tr_pud-ud-test,1000,0,28,5.0,1.0,,1.0,,,5.0,,,,,,,,,16,
tr_kenet-ud-dev,1646,0,4,1.0,,,,,,,,,,,,,,,3,
tr_kenet-ud-test,1643,0,3,,1.0,,,,,,,,,,,,,,2,
tr_kenet-ud-train,15398,0,33,1.0,,,1.0,,,1.0,,,,,,,,2.0,28,
bor_bdt-ud-test,881,0,27,1.0,7.0,,,,,4.0,,,1.0,,,,,1.0,13,
tt_nmctt-ud-test,148,0,8,1.0,1.0,3.0,,,,,,,,,,,,1.0,2,
tr_gb-ud-test,2880,0,15,,2.0,,2.0,,,,1.0,1.0,,,,,,,8,1.0
qtd_sagt-ud-test,805,0,1,,,,,,,,,,,,,,,,1,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,,,,,,,,1,
tr_tourism-ud-train,15473,0,7,1.0,,,,,,,,,,,,,,,6,
tr_tourism-ud-dev,2166,0,2,,,,,,,,,,,,,,,,2,
tr_tourism-ud-test,2191,0,1,,,,,,,,,,,,,,,,1,
tr_imst-ud-train,3435,0,100,14.0,5.0,1.0,3.0,2.0,1.0,16.0,1.0,,6.0,2.0,9.0,8.0,,,32,
tr_imst-ud-dev,1100,0,25,8.0,,,,1.0,,1.0,,,,,2.0,3.0,,,10,
tr_imst-ud-test,1100,0,10,4.0,1.0,,,,,,1.0,,,1.0,1.0,,,,2,
tr_boun-ud-train,7803,0,48,11.0,5.0,,2.0,3.0,,3.0,2.0,,,1.0,,,2.0,1.0,18,
tr_penn-ud-dev,622,0,5,1.0,,,,,,2.0,,,,,,,,,2,
tr_penn-ud-test,924,0,10,,,,,,,,,,,,,,,,10,
tr_penn-ud-train,14850,0,102,5.0,5.0,,1.0,1.0,,5.0,,,,,,,,,85,
