Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmpr,amod,appos,aux,aux:pass,ccomp,ccomp:cleft,ccomp:obj,conj,csubj,csubj:pass,dep,obj,obl,parataxis,parataxis:insert,parataxis:obj,root,xcomp
de_hdt-ud-test,18459,0,4890,7.0,,1.0,,,,4842.0,,2.0,,,4.0,2.0,,,,,1.0,,,30.0,1.0
de_hdt-ud-train,153035,0,38925,67.0,,22.0,,,2.0,38403.0,,27.0,,,40.0,33.0,2.0,,,1.0,9.0,,,309.0,10.0
de_hdt-ud-dev,18434,0,4546,4.0,,1.0,,,,4489.0,,4.0,,,9.0,6.0,,,,,3.0,,,30.0,
pl_pdb-ud-test,2215,0,24,,2.0,,,,,,,1.0,,1.0,,,,,,,,,1.0,19.0,
pl_pdb-ud-train,17722,0,221,,9.0,3.0,1.0,,,,,20.0,1.0,17.0,25.0,1.0,,,,,,1.0,19.0,124.0,
pl_pdb-ud-dev,2215,0,28,,3.0,1.0,,,,,,1.0,,1.0,5.0,,,,,,,,3.0,14.0,
he_iahltwiki-ud-train,4298,0,121,1.0,5.0,3.0,,,1.0,64.0,,4.0,,,7.0,1.0,,,,,,,,35.0,
he_iahltwiki-ud-dev,348,0,6,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,2.0,
he_iahltwiki-ud-test,393,0,12,,2.0,,,,,9.0,,,,,,,,,,,,,,1.0,
vi_tuecl-ud-test,100,0,38,1.0,2.0,2.0,,,,17.0,4.0,,,,,,,,,,2.0,,,6.0,4.0
hsb_ufal-ud-test,623,0,47,3.0,,5.0,,,,,,2.0,,,7.0,,,,,,,,,30.0,
hsb_ufal-ud-train,23,0,1,,,,,,,,,,,,1.0,,,,,,,,,,
af_afribooms-ud-train,1315,0,851,,,,,1.0,,828.0,,,,,3.0,,,4.0,2.0,,,,,5.0,8.0
af_afribooms-ud-dev,194,0,118,,,,,,,117.0,,,,,,,,1.0,,,,,,,
af_afribooms-ud-test,425,0,204,,,,,,,200.0,,,,,1.0,,,2.0,1.0,,,,,,
nds_lsdc-ud-test,500,0,5,,,,,,,5.0,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,4,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,
