,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Ter,1.5876063199548225
1,hu_szeged-ud-test_Case=Ter,1.16619037896906
2,hu_szeged-ud-train_Case=Ter,1.2783996071477632
3,et_ewt-ud-train_Case=Ter,1.5890248582070703
4,et_ewt-ud-test_Case=Ter,1.408900280360537
5,et_ewt-ud-dev_Case=Ter,1.3564659966250536
6,olo_kkpp-ud-test_Case=Ter,2.315167380558045
7,vep_vwt-ud-test_Case=Ter,1.16619037896906
8,kpv_ikdp-ud-test_Case=Ter,2.3151673805580453
9,kpv_lattice-ud-test_Case=Ter,3.4836059197448885
10,et_edt-ud-dev_Case=Ter,1.3111495086650002
11,et_edt-ud-train_Case=Ter,1.3708478106275652
12,et_edt-ud-test_Case=Ter,1.392629532101891
13,ab_abnc-ud-test_Case=Ter,1.16619037896906
14,gu_gujtb-ud-test_Case=Ter,1.16619037896906
