,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,egy_ujaen-ud-test_Case=Lat,1.224744871391589,1.0,1.0
1,mdf_jr-ud-test_Case=Lat,34.68429039204925,34.677081768799404,34.677081768799404
2,myv_jr-ud-test_Case=Lat,9.742765911347032,9.717071966559976,9.717071966559976
3,myv_jr-ud-train_Case=Lat,11.786846570059174,11.769480071652476,11.769480071652476
4,sjo_xdt-ud-test_Case=Lat,1.3947446002763373,1.202211503854459,1.202211503854459
5,eu_bdt-ud-train_Case=Lat,0.7071067811865476,0.0,0.0
6,eu_bdt-ud-test_Case=Lat,0.7071067811865476,0.0,0.0
7,eu_bdt-ud-dev_Case=Lat,0.7071067811865476,0.0,0.0
8,fi_ftb-ud-dev_Case=Lat,0.7071067811865476,0.0,0.0
9,fi_ftb-ud-train_Case=Lat,0.7071067811865476,0.0,0.0
10,fi_ftb-ud-test_Case=Lat,0.7071067811865476,0.0,0.0
11,ab_abnc-ud-test_Case=Lat,0.7071067811865476,0.0,0.0
