,Treebank,fi_ood-ud-test_Case=Par,sah_yktdt-ud-test_Case=Par,sms_giellagas-ud-test_Case=Par,et_ewt-ud-train_Case=Par,et_ewt-ud-test_Case=Par,et_ewt-ud-dev_Case=Par,olo_kkpp-ud-test_Case=Par,olo_kkpp-ud-train_Case=Par,vep_vwt-ud-test_Case=Par,fi_tdt-ud-train_Case=Par,fi_tdt-ud-test_Case=Par,fi_tdt-ud-dev_Case=Par,ru_taiga-ud-train_Case=Par,ru_taiga-ud-dev_Case=Par,ru_taiga-ud-test_Case=Par,fi_pud-ud-test_Case=Par,et_edt-ud-dev_Case=Par,et_edt-ud-train_Case=Par,et_edt-ud-test_Case=Par,ru_syntagrus-ud-train_Case=Par,ru_syntagrus-ud-dev_Case=Par,ru_syntagrus-ud-test_Case=Par,ru_poetry-ud-dev_Case=Par,ru_poetry-ud-train_Case=Par,krl_kkpp-ud-test_Case=Par,eu_bdt-ud-train_Case=Par,eu_bdt-ud-test_Case=Par,eu_bdt-ud-dev_Case=Par,fi_ftb-ud-dev_Case=Par,fi_ftb-ud-train_Case=Par,fi_ftb-ud-test_Case=Par,ru_gsd-ud-dev_Case=Par,ru_gsd-ud-train_Case=Par
0,hu_szeged-ud-dev_Case=Ine,71.64154226789408,75.67608605101086,79.57229417328622,55.539773974403815,57.52458826317356,61.41046327784867,96.66824711351707,79.57229417328622,79.57229417328622,66.82920118760877,67.05683708616147,67.62759756026946,50.84043666216883,79.57229417328622,79.57229417328622,65.10143291109979,64.12153927743749,59.367008914018506,60.719463978078096,25.971137826441105,79.57229417328622,79.57229417328622,79.57229417328622,68.00551448228298,59.2244892207336,61.472936118262645,67.36883552504081,71.50337228775096,73.12169267764017,71.89910010321779,71.8106042960667,79.57229417328622,79.57229417328622
1,hu_szeged-ud-test_Case=Ine,45.99867838229007,49.759287240340036,53.4353191562784,39.743970106099496,39.53861326675699,39.225671865926444,107.80228816371817,53.4353191562784,53.4353191562784,41.98872379955327,42.2422308438684,42.574811930879925,33.90673482756289,53.4353191562784,53.4353191562784,40.71032728767218,65.78118983845503,57.15022137429867,58.82692490402598,38.26443082899139,53.4353191562784,53.4353191562784,53.4353191562784,42.04362813395945,38.08194543220231,38.57467055378871,42.38584669438609,45.88874720795482,47.405835758061755,46.328656172374,46.261383963933724,53.4353191562784,53.4353191562784
2,hu_szeged-ud-train_Case=Ine,25.529892097839447,29.08500865621078,32.67200382276872,34.4328509548957,31.549811120154924,24.986066477249675,117.90199695690735,32.67200382276872,32.67200382276872,22.786459568483227,23.05205258825894,22.987091991463675,28.93435114012887,32.67200382276872,32.67200382276872,22.39025321947137,71.76676765470575,61.2896628940975,63.0027652302776,54.293663894216714,32.67200382276872,32.67200382276872,32.67200382276872,21.406758453330212,25.70954980943561,23.150042590736383,22.9576003263055,25.47573222732083,26.853267402314188,25.942197700107727,25.910431177010917,32.67200382276872,32.67200382276872
3,fi_ood-ud-test_Case=Ine,501.2456706665524,505.9805529859819,510.61629429543274,471.2938748733404,475.94873324329825,485.47005056954856,400.264912276857,510.61629429543274,510.61629429543274,494.8392588824919,495.00626198059354,496.0254278742584,470.7270971592776,510.61629429543274,510.61629429543274,492.37289244143636,438.3797353751006,447.3404424933682,446.78192884465324,430.2749121201467,510.61629429543274,510.61629429543274,510.61629429543274,498.68827938903877,482.0084267487345,486.4748034328191,495.58264699240635,501.0102692967764,502.82048813424564,501.2487946677398,501.1167507196026,510.61629429543274,510.61629429543274
4,et_ewt-ud-train_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
5,et_ewt-ud-test_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
6,et_ewt-ud-dev_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
7,si_stb-ud-test_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
8,olo_kkpp-ud-test_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
9,olo_kkpp-ud-train_Case=Ine,10.881208844195129,6.334035048845246,0.0,49.174596926907114,44.08588319352249,31.663385794952504,139.7390425042336,0.0,0.0,18.711198078741774,18.668674296799974,17.107076434426677,46.65833258915282,0.0,0.0,21.823579013918195,91.58649739557852,80.27025559877289,81.79242650183359,84.27039812413372,0.0,0.0,0.0,12.36931687685298,35.21696420620656,29.085810543974876,17.713271860387625,11.285692885477854,9.401034930993175,11.310617670681031,11.574769776600762,0.0,0.0
