,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,hu_szeged-ud-dev_Case=Ter,3.4066021592790867,1.469861839480328,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,3.7416573867739413,1.0,1.0
2,hu_szeged-ud-train_Case=Ter,3.643392039783196,1.1288514320120056,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,3.40073521462639,1.4713938969562161,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,3.553167600887974,1.2747548783981961,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,3.588871688985272,1.2165525060596438,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,3.1622776601683795,2.23606797749979,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,3.7416573867739413,1.0,1.0
8,kpv_ikdp-ud-test_Case=Ter,3.1622776601683795,2.23606797749979,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,2.5475077857324298,3.431546328418375,3.431546328418375
10,et_edt-ud-dev_Case=Ter,3.6134176969563208,1.1658100334413286,1.1658100334413286
11,et_edt-ud-train_Case=Ter,3.564677542958768,1.2325679372360732,1.2325679372360732
12,et_edt-ud-test_Case=Ter,3.5536175232412406,1.2567485880964147,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,3.7416573867739413,1.0,1.0
14,gu_gujtb-ud-test_Case=Ter,3.7416573867739413,1.0,1.0
