,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,egy_ujaen-ud-test_Case=Lat,0.4714045207910316,1.0,1.0
1,mdf_jr-ud-test_Case=Lat,33.52196626426055,34.677081768799404,34.677081768799404
2,myv_jr-ud-test_Case=Lat,8.574526092112373,9.717071966559976,9.717071966559976
3,myv_jr-ud-train_Case=Lat,10.605194769853108,11.769480071652476,11.769480071652476
4,sjo_xdt-ud-test_Case=Lat,0.4093100563414271,1.202211503854459,1.202211503854459
5,eu_bdt-ud-train_Case=Lat,1.3743685418725535,0.0,0.0
6,eu_bdt-ud-test_Case=Lat,1.3743685418725535,0.0,0.0
7,eu_bdt-ud-dev_Case=Lat,1.3743685418725535,0.0,0.0
8,fi_ftb-ud-dev_Case=Lat,1.3743685418725535,0.0,0.0
9,fi_ftb-ud-train_Case=Lat,1.3743685418725535,0.0,0.0
10,fi_ftb-ud-test_Case=Lat,1.3743685418725535,0.0,0.0
11,ab_abnc-ud-test_Case=Lat,1.3743685418725535,0.0,0.0
