,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Ess,2.564036995498644
1,hu_szeged-ud-test_Case=Ess,2.0232646885664765
2,hu_szeged-ud-train_Case=Ess,1.6928750278020133
3,fi_ood-ud-test_Case=Ess,0.6
4,sms_giellagas-ud-test_Case=Ess,0.6
5,et_ewt-ud-train_Case=Ess,0.6
6,et_ewt-ud-test_Case=Ess,0.6
7,et_ewt-ud-dev_Case=Ess,0.6
8,egy_ujaen-ud-test_Case=Ess,0.6
9,olo_kkpp-ud-test_Case=Ess,0.6
10,olo_kkpp-ud-train_Case=Ess,0.6
11,vep_vwt-ud-test_Case=Ess,0.6
12,fi_tdt-ud-train_Case=Ess,0.6
13,fi_tdt-ud-test_Case=Ess,0.6
14,fi_tdt-ud-dev_Case=Ess,0.6
15,fi_pud-ud-test_Case=Ess,0.6
16,et_edt-ud-dev_Case=Ess,0.6
17,et_edt-ud-train_Case=Ess,0.6
18,et_edt-ud-test_Case=Ess,0.6
19,sme_giella-ud-train_Case=Ess,0.6
20,sme_giella-ud-test_Case=Ess,0.6
21,ka_glc-ud-test_Case=Ess,0.6
22,krl_kkpp-ud-test_Case=Ess,0.6
23,eu_bdt-ud-train_Case=Ess,0.6
24,eu_bdt-ud-test_Case=Ess,0.6
25,eu_bdt-ud-dev_Case=Ess,0.6
26,fi_ftb-ud-dev_Case=Ess,0.6
27,fi_ftb-ud-train_Case=Ess,0.6
28,fi_ftb-ud-test_Case=Ess,0.6
29,ab_abnc-ud-test_Case=Ess,0.6
