,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,hu_szeged-ud-dev_Case=All,0.09302602822781461,0.23410454433876385,0.11079390612036999
1,hu_szeged-ud-test_Case=All,0.10633143656328783,0.17787468719288924,0.1351975449676544
2,hu_szeged-ud-train_Case=All,0.07397140725540068,0.1666592481945803,0.07959113203505651
3,fi_ood-ud-test_Case=All,0.312712650689477,0.4323919651817544,0.320978170293145
4,ess_sli-ud-test_Case=All,40.479456762079785,40.603202309758565,40.48999409624037
5,hit_hittb-ud-test_Case=All,0.2939723678960656,0.10649955403405117,0.28019779169211134
6,et_ewt-ud-train_Case=All,0.23053106665615508,0.32655515368288085,0.23648161895614306
7,et_ewt-ud-test_Case=All,0.27269094077892464,0.396228100446379,0.2809602400086406
8,et_ewt-ud-dev_Case=All,0.22919029977100178,0.3189689654785589,0.23481278126326197
9,ml_ufal-ud-test_Case=All,3.5477344535754676,3.6728194925118047,3.558348512414498
10,egy_ujaen-ud-test_Case=All,1.259531560972737,1.08869426309121,1.2452843148017878
11,olo_kkpp-ud-test_Case=All,0.3143508347393017,0.3356659880721288,0.3138204172130446
12,olo_kkpp-ud-train_Case=All,0.5800170282728083,0.6514488723378999,0.5851492898039138
13,vep_vwt-ud-test_Case=All,0.22054925823643565,0.19693087248073077,0.21514781023034743
14,fi_tdt-ud-train_Case=All,0.5411355791313859,0.6837829202084046,0.5536607732391362
15,fi_tdt-ud-test_Case=All,0.5418647168461471,0.6950467882351892,0.5560036111444219
16,fi_tdt-ud-dev_Case=All,0.22694278259569883,0.32620269066404173,0.23409966457268866
17,tpn_tudet-ud-test_Case=All,0.7837075544258824,0.9004771308711911,0.7933704862137623
18,fi_pud-ud-test_Case=All,0.4447791126949649,0.5898580884037493,0.46631216582881885
19,et_edt-ud-dev_Case=All,0.28053348345943513,0.3909132466179375,0.2876614024277447
20,et_edt-ud-train_Case=All,0.3162934506604402,0.43481860262251426,0.3243946161167677
21,et_edt-ud-test_Case=All,0.3903569972019634,0.5097258242222157,0.3991549913392263
22,wbp_ufal-ud-test_Case=All,0.2939723678960656,0.10649955403405117,0.28019779169211134
23,arr_tudet-ud-test_Case=All,0.5555555555555556,0.6514488723378999,0.5731586189434262
24,gn_oldtudet-ud-test_Case=All,0.5800170282728083,0.6514488723378999,0.5851492898039138
25,eu_bdt-ud-train_Case=All,0.3563117270276275,0.4806686322961338,0.37141319343836043
26,eu_bdt-ud-test_Case=All,0.41798536350655097,0.5309552532151331,0.4318562066074647
27,eu_bdt-ud-dev_Case=All,0.47772766218286983,0.6050784780062569,0.4927852383340523
28,fi_ftb-ud-dev_Case=All,1.259531560972737,1.08869426309121,1.2452843148017878
29,fi_ftb-ud-train_Case=All,1.259531560972737,1.08869426309121,1.2452843148017878
30,fi_ftb-ud-test_Case=All,1.259531560972737,1.08869426309121,1.2452843148017878
31,eme_tudet-ud-test_Case=All,0.2910148609267083,0.3248383899602543,0.2914629192597753
32,aqz_tudet-ud-test_Case=All,1.457208560956,1.6024890788615154,1.471370298584131
33,gu_gujtb-ud-test_Case=All,0.2939723678960656,0.10649955403405117,0.28019779169211134
