,Treebank,hu_szeged-ud-dev_Case=Cau,hu_szeged-ud-test_Case=Cau,hu_szeged-ud-train_Case=Cau,egy_ujaen-ud-test_Case=Cau,mdf_jr-ud-test_Case=Cau,wbp_ufal-ud-test_Case=Cau,eu_bdt-ud-train_Case=Cau,eu_bdt-ud-test_Case=Cau,eu_bdt-ud-dev_Case=Cau
0,hu_szeged-ud-dev_Case=Ter,14.57716800892731,20.22222222222222,18.44344040105209,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
2,hu_szeged-ud-train_Case=Ter,14.807913612509886,20.4517555617007,18.726744837857492,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,14.57274853965442,20.212990872208895,18.432715480905138,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,14.718186029535026,20.35006142496872,18.624580532189174,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,14.753982513206392,20.398039121444985,18.667619023324857,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,14.212670403551895,19.849433241279208,18.027756377319946,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
8,kpv_ikdp-ud-test_Case=Ter,14.212670403551895,19.849433241279208,18.027756377319946,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,13.33860440027137,18.96398304843222,16.93444744312851,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375
10,et_edt-ud-dev_Case=Ter,14.780126396275724,20.424245658248704,18.69550490710927,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286
11,et_edt-ud-train_Case=Ter,14.733714077449001,20.377381341130274,18.634140651769666,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732
12,et_edt-ud-test_Case=Ter,14.721608556034118,20.364816681647223,18.619918588253668,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
14,gu_gujtb-ud-test_Case=Ter,14.89966442575134,20.54263858417414,18.841443681416774,1.0,1.0,1.0,1.0,1.0,1.0
