,Treebank,egy_ujaen-ud-test_Case=Sub
0,sl_ssj-ud-test_Case=Dat,3.3016065117936892
1,sl_ssj-ud-dev_Case=Dat,3.756013696578979
2,sl_ssj-ud-train_Case=Dat,3.1999900553292875
3,xcl_caval-ud-train_Case=Dat,1.5158120343422499
4,xcl_caval-ud-dev_Case=Dat,1.4554871406629333
5,xcl_caval-ud-test_Case=Dat,1.5083761168720502
6,hu_szeged-ud-dev_Case=Dat,3.315147671165291
7,hu_szeged-ud-test_Case=Dat,6.211247204606712
8,hu_szeged-ud-train_Case=Dat,3.173993493042724
9,xav_xdt-ud-test_Case=Dat,1.5890248582070705
10,tr_pud-ud-test_Case=Dat,6.396851090963867
11,es_gsd-ud-test_Case=Dat,0.894427190999916
12,es_gsd-ud-dev_Case=Dat,0.894427190999916
13,es_gsd-ud-train_Case=Dat,0.894427190999916
14,de_hdt-ud-test_Case=Dat,0.894427190999916
15,de_hdt-ud-train_Case=Dat,0.894427190999916
16,de_hdt-ud-dev_Case=Dat,0.894427190999916
17,sga_dipsgg-ud-test_Case=Dat,0.894427190999916
18,pt_porttinari-ud-train_Case=Dat,2.334651339679997
19,pt_porttinari-ud-test_Case=Dat,2.277664396271061
20,pt_porttinari-ud-dev_Case=Dat,2.1134489978863145
21,pl_pdb-ud-test_Case=Dat,1.7556821066854185
22,pl_pdb-ud-train_Case=Dat,1.8123933093435243
23,pl_pdb-ud-dev_Case=Dat,1.8057162903464772
24,sah_yktdt-ud-test_Case=Dat,30.07573772993773
25,uk_iu-ud-dev_Case=Dat,8.464566668701293
26,uk_iu-ud-train_Case=Dat,4.2134010654116105
27,uk_iu-ud-test_Case=Dat,5.847542709481503
28,sa_vedic-ud-test_Case=Dat,3.4444940871530623
29,sa_vedic-ud-train_Case=Dat,3.3784571691713348
30,sa_vedic-ud-dev_Case=Dat,2.861108359199962
31,es_ancora-ud-train_Case=Dat,0.894427190999916
32,es_ancora-ud-test_Case=Dat,0.894427190999916
33,es_ancora-ud-dev_Case=Dat,0.894427190999916
34,hr_set-ud-dev_Case=Dat,5.549088360305094
35,hr_set-ud-train_Case=Dat,4.774565420393547
36,hr_set-ud-test_Case=Dat,5.789632848342029
37,orv_rnc-ud-dev_Case=Dat,4.055171970087182
38,orv_rnc-ud-train_Case=Dat,4.491128008720303
39,orv_rnc-ud-test_Case=Dat,4.065602775226071
40,la_circse-ud-test_Case=Dat,0.894427190999916
41,is_pud-ud-test_Case=Dat,83.47727834566722
42,grc_perseus-ud-dev_Case=Dat,12.77323007599857
43,grc_perseus-ud-train_Case=Dat,10.298580667861964
44,grc_perseus-ud-test_Case=Dat,16.0081571646005
45,tr_atis-ud-dev_Case=Dat,0.894427190999916
46,tr_atis-ud-train_Case=Dat,0.894427190999916
47,tr_atis-ud-test_Case=Dat,0.894427190999916
48,pt_pud-ud-test_Case=Dat,1.5920721960862896
49,hi_pud-ud-test_Case=Dat,0.894427190999916
50,la_perseus-ud-test_Case=Dat,0.894427190999916
51,la_perseus-ud-train_Case=Dat,0.894427190999916
52,tr_kenet-ud-dev_Case=Dat,9.820795485134822
53,tr_kenet-ud-test_Case=Dat,1112.2284837208585
