,Treebank,hu_szeged-ud-dev_Case=Tem,hu_szeged-ud-test_Case=Tem,hu_szeged-ud-train_Case=Tem,fa_seraji-ud-dev_Case=Tem,fa_seraji-ud-test_Case=Tem,fa_seraji-ud-train_Case=Tem,gub_tudet-ud-test_Case=Tem,lzh_tuecl-ud-test_Case=Tem,apu_ufpa-ud-test_Case=Tem,egy_ujaen-ud-test_Case=Tem,nyq_aha-ud-test_Case=Tem,mdf_jr-ud-test_Case=Tem,mdf_jr-ud-train_Case=Tem,myv_jr-ud-test_Case=Tem,myv_jr-ud-train_Case=Tem,kfm_aha-ud-test_Case=Tem,soj_aha-ud-test_Case=Tem,he_htb-ud-train_Case=Tem,lzh_kyoto-ud-dev_Case=Tem,lzh_kyoto-ud-train_Case=Tem,lzh_kyoto-ud-test_Case=Tem,gu_gujtb-ud-test_Case=Tem
0,sl_ssj-ud-test_Case=Loc,1.5860594015130947,1.696228630811666,1.696228630811666,2.618603778329093,2.618603778329093,2.618603778329093,1.696228630811666,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,1.1335571044630675,2.815573852387781,2.618603778329093,2.618603778329093,6.063929352081275,2.618603778329093,2.618603778329093,2.618603778329093,3.4550700468011755
1,sl_ssj-ud-dev_Case=Loc,1.578759075398114,1.692132258571466,1.692132258571466,2.6192505338582834,2.6192505338582834,2.6192505338582834,1.692132258571466,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,1.1079959884424735,2.805424590672745,2.6192505338582834,2.6192505338582834,6.04793179819016,2.6192505338582834,2.6192505338582834,2.6192505338582834,3.4455516604227503
2,sl_ssj-ud-train_Case=Loc,1.5648838998855303,1.6752759658021141,1.6752759658021141,2.599685732683534,2.599685732683534,2.599685732683534,1.6752759658021141,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,1.1200561557856477,2.815494395978069,2.599685732683534,2.599685732683534,6.072419960205136,2.599685732683534,2.599685732683534,2.599685732683534,3.457036378203425
3,xcl_caval-ud-train_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
4,xcl_caval-ud-dev_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
5,xcl_caval-ud-test_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
6,hu_szeged-ud-train_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
7,fa_seraji-ud-dev_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
8,fa_seraji-ud-test_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
9,fa_seraji-ud-train_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
10,tr_pud-ud-test_Case=Loc,1033.8212037146461,1033.9206932835807,1033.9206932835807,1034.690775062772,1034.690775062772,1034.690775062772,1033.9206932835807,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1032.8825898641358,1032.0002422480336,1034.690775062772,1034.690775062772,1028.7154003902149,1034.690775062772,1034.690775062772,1034.690775062772,1031.6171770574585
11,pl_pdb-ud-test_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
12,pl_pdb-ud-train_Case=Loc,18056.068585969926,18056.1882466926,18056.1882466926,18057.104502106642,18057.104502106642,18057.104502106642,18056.1882466926,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18054.95262924953,18053.897820138453,18057.104502106642,18057.104502106642,18049.9002871207,18057.104502106642,18057.104502106642,18057.104502106642,18053.439783044116
13,pl_pdb-ud-dev_Case=Loc,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
14,uk_iu-ud-dev_Case=Loc,1.5004391709500358,1.608509785660613,1.608509785660613,2.5312407050621375,2.5312407050621375,2.5312407050621375,1.608509785660613,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,1.1074137222538232,2.835068656941514,2.5312407050621375,2.5312407050621375,6.132178085997832,2.5312407050621375,2.5312407050621375,2.5312407050621375,3.4824813569312045
15,uk_iu-ud-train_Case=Loc,1.5297811935147452,1.6390674756400339,1.6390674756400339,2.5631727626677683,2.5631727626677683,2.5631727626677683,1.6390674756400339,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,1.1089139306079332,2.824581585960772,2.5631727626677683,2.5631727626677683,6.108805287381189,2.5631727626677683,2.5631727626677683,2.5631727626677683,3.4693810579061806
16,uk_iu-ud-test_Case=Loc,1.4960790907264436,1.6067778252627123,1.6067778252627123,2.533995936859706,2.533995936859706,2.533995936859706,1.6067778252627123,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,1.0831515380230772,2.8254617160903384,2.533995936859706,2.533995936859706,6.116340880955475,2.533995936859706,2.533995936859706,2.533995936859706,3.473259808157086
