,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,hu_szeged-ud-dev_Case=Ade,5.704302104552317,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,5.678647851391944,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,5.687266478722446,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,5.80153210932678,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,5.827216659065048,1.897422799077966
5,et_ewt-ud-test_Case=Ade,5.823870719384705,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,5.925327516082087,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,5.814241279999469,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,5.747753184216131,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,5.896115678141314,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,5.886508287904698,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,5.908551395379136,2.171466165088107
12,fi_pud-ud-test_Case=Ade,5.986409759147028,2.3950690043825595
13,et_edt-ud-dev_Case=Ade,5.7899942317004935,1.7767514466365293
14,et_edt-ud-train_Case=Ade,5.801254599076598,1.8041476170465596
15,et_edt-ud-test_Case=Ade,5.769889598299305,1.6708159613082763
16,krl_kkpp-ud-test_Case=Ade,5.734992303286029,1.6152048534938224
17,fi_ftb-ud-dev_Case=Ade,5.545268253204709,0.0
18,fi_ftb-ud-train_Case=Ade,5.545268253204709,0.0
19,fi_ftb-ud-test_Case=Ade,5.545268253204709,0.0
