,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,egy_ujaen-ud-test_Case=Lat,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
1,mdf_jr-ud-test_Case=Lat,31.280984639234106,24.859605789312106,34.677081768799404,34.677081768799404,34.677081768799404
2,myv_jr-ud-test_Case=Lat,6.205835696682186,4.297318018108543,9.717071966559976,9.717071966559976,9.717071966559976
3,myv_jr-ud-train_Case=Lat,8.18383813449229,4.025230346060083,11.769480071652476,11.769480071652476,11.769480071652476
4,sjo_xdt-ud-test_Case=Lat,3.5454636509207087,9.263925328930496,1.202211503854459,1.202211503854459,1.202211503854459
5,eu_bdt-ud-train_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
6,eu_bdt-ud-test_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
7,eu_bdt-ud-dev_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
8,fi_ftb-ud-dev_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
9,fi_ftb-ud-train_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
10,fi_ftb-ud-test_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
11,ab_abnc-ud-test_Case=Lat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
