,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,hu_szeged-ud-dev_Case=Tem,10.938749928579591,8.881982147304926
1,hu_szeged-ud-test_Case=Tem,11.062323444918793,9.000443983578798
2,hu_szeged-ud-train_Case=Tem,11.062323444918793,9.000443983578798
3,fa_seraji-ud-dev_Case=Tem,11.973930014828047,9.907268912419791
4,fa_seraji-ud-test_Case=Tem,11.973930014828047,9.907268912419791
5,fa_seraji-ud-train_Case=Tem,11.973930014828047,9.907268912419791
6,gub_tudet-ud-test_Case=Tem,11.062323444918793,9.000443983578798
7,lzh_tuecl-ud-test_Case=Tem,11.973930014828047,9.907268912419791
8,apu_ufpa-ud-test_Case=Tem,11.973930014828047,9.907268912419791
9,egy_ujaen-ud-test_Case=Tem,11.973930014828047,9.907268912419791
10,nyq_aha-ud-test_Case=Tem,11.973930014828047,9.907268912419791
11,mdf_jr-ud-test_Case=Tem,11.973930014828047,9.907268912419791
12,mdf_jr-ud-train_Case=Tem,11.973930014828047,9.907268912419791
13,myv_jr-ud-test_Case=Tem,9.873505512790839,7.844124885974393
14,myv_jr-ud-train_Case=Tem,9.212762886344139,7.289926501542394
15,kfm_aha-ud-test_Case=Tem,11.973930014828047,9.907268912419791
16,soj_aha-ud-test_Case=Tem,11.973930014828047,9.907268912419791
17,he_htb-ud-train_Case=Tem,6.224949798994366,4.7656541056631925
18,lzh_kyoto-ud-dev_Case=Tem,11.973930014828047,9.907268912419791
19,lzh_kyoto-ud-train_Case=Tem,11.973930014828047,9.907268912419791
20,lzh_kyoto-ud-test_Case=Tem,11.973930014828047,9.907268912419791
21,gu_gujtb-ud-test_Case=Tem,8.965210538520553,7.111261188928459
