,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,hu_szeged-ud-dev_Case=Ill,0.3611022814488783,1.278845324000557,1.278845324000557
1,hu_szeged-ud-test_Case=Ill,0.38739534483122195,1.3689738821885769,1.3689738821885769
2,hu_szeged-ud-train_Case=Ill,0.3798553980882594,1.1689791895833785,1.1689791895833785
3,fi_ood-ud-test_Case=Ill,0.6996024267793499,1.8756033695853715,1.8756033695853715
4,sms_giellagas-ud-test_Case=Ill,4.888888888888889,6.117168714889247,6.117168714889247
5,sms_giellagas-ud-train_Case=Ill,0.4714045207910316,1.0,1.0
6,et_ewt-ud-train_Case=Ill,5.400760243332311,6.5912452584836325,6.5912452584836325
7,et_ewt-ud-test_Case=Ill,4.167727864863006,5.397629109155241,5.397629109155241
8,et_ewt-ud-dev_Case=Ill,10.524515765524104,11.756269669551216,11.756269669551216
9,egy_ujaen-ud-test_Case=Ill,1.3743685418725535,0.0,0.0
10,si_stb-ud-test_Case=Ill,1.3743685418725535,0.0,0.0
11,lt_alksnis-ud-test_Case=Ill,0.4714045207910316,1.0,1.0
12,lt_alksnis-ud-dev_Case=Ill,0.4714045207910316,1.0,1.0
13,lt_alksnis-ud-train_Case=Ill,0.4714045207910316,1.0,1.0
14,olo_kkpp-ud-test_Case=Ill,0.6796081169589011,1.842143079204315,1.842143079204315
15,olo_kkpp-ud-train_Case=Ill,1.3743685418725535,0.0,0.0
16,mdf_jr-ud-test_Case=Ill,7.522420192700987,8.705242673240075,8.705242673240075
17,mdf_jr-ud-train_Case=Ill,1.3743685418725535,0.0,0.0
18,vep_vwt-ud-test_Case=Ill,0.5451809077932043,1.635542723379613,1.635542723379613
19,fi_tdt-ud-train_Case=Ill,0.7674695580748835,1.960920608682236,1.960920608682236
20,fi_tdt-ud-test_Case=Ill,0.7725702343531852,1.9640267731056948,1.9640267731056948
21,fi_tdt-ud-dev_Case=Ill,0.7193038275163105,1.9045597042899167,1.9045597042899167
22,myv_jr-ud-test_Case=Ill,0.5485614869618117,1.7104654390763518,1.7104654390763518
23,myv_jr-ud-train_Case=Ill,0.4238373259452533,1.5026261478525773,1.5026261478525773
24,kpv_ikdp-ud-test_Case=Ill,1.0780641085864153,2.3108440016582685,2.3108440016582685
25,kpv_lattice-ud-test_Case=Ill,8.26096124707189,9.44519638196462,9.44519638196462
26,kpv_lattice-ud-train_Case=Ill,1.3743685418725535,0.0,0.0
27,fi_pud-ud-test_Case=Ill,0.7900768654296855,1.983108213213122,1.983108213213122
28,et_edt-ud-dev_Case=Ill,3.222828154772256,4.410228268319544,4.410228268319544
29,et_edt-ud-train_Case=Ill,3.1567184927921037,4.347833450101511,4.347833450101511
30,et_edt-ud-test_Case=Ill,4.176146857735943,5.3714540403661655,5.3714540403661655
31,koi_uh-ud-train_Case=Ill,1.3743685418725535,0.0,0.0
32,koi_uh-ud-test_Case=Ill,30.059200846921325,31.25699921617557,31.25699921617557
33,sme_giella-ud-train_Case=Ill,0.3909829074913552,1.152010514482039,1.152010514482039
34,sme_giella-ud-test_Case=Ill,0.3738902000818523,1.2072765064707807,1.2072765064707807
35,krl_kkpp-ud-test_Case=Ill,0.3557291243018249,1.3562839573037448,1.3562839573037448
36,fi_ftb-ud-dev_Case=Ill,1.3743685418725535,0.0,0.0
37,fi_ftb-ud-train_Case=Ill,1.3743685418725535,0.0,0.0
38,fi_ftb-ud-test_Case=Ill,1.3743685418725535,0.0,0.0
