,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,hu_szeged-ud-dev_Case=All,1.4726049455772914,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,1.4115052032406787,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,1.421756377615896,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,1.636341048580991,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,41.4427315702042,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,1.224744871391589,1.0,1.0
6,et_ewt-ud-train_Case=All,1.561608632467205,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,1.6239698294308844,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,1.557624710999035,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,4.636809247747852,4.58257569495584,4.58257569495584
10,egy_ujaen-ud-test_Case=All,0.7071067811865476,0.0,0.0
11,olo_kkpp-ud-test_Case=All,1.4812882488000294,1.3016200966614866,1.3016200966614866
12,olo_kkpp-ud-train_Case=All,1.7320508075688772,1.5811388300841898,1.5811388300841898
13,vep_vwt-ud-test_Case=All,1.4007934259633796,1.2092238098144703,1.2092238098144703
14,fi_tdt-ud-train_Case=All,1.8702642728894938,1.734535185874498,1.734535185874498
15,fi_tdt-ud-test_Case=All,1.887745909152097,1.7503098632872058,1.7503098632872058
16,fi_tdt-ud-dev_Case=All,1.5596777373887216,1.3901779182917564,1.3901779182917564
17,tpn_tudet-ud-test_Case=All,2.0275875100994063,1.9002923751652299,1.9002923751652299
18,fi_pud-ud-test_Case=All,1.7824068759878777,1.6361461644880222,1.6361461644880222
19,et_edt-ud-dev_Case=All,1.6074912772946612,1.4444051062310876,1.4444051062310876
20,et_edt-ud-train_Case=All,1.6462483837840214,1.487667600355589,1.487667600355589
21,et_edt-ud-test_Case=All,1.7086431013049657,1.5561603904098478,1.5561603904098478
22,wbp_ufal-ud-test_Case=All,1.224744871391589,1.0,1.0
23,arr_tudet-ud-test_Case=All,1.7320508075688772,1.5811388300841898,1.5811388300841898
24,gn_oldtudet-ud-test_Case=All,1.7320508075688772,1.5811388300841898,1.5811388300841898
25,eu_bdt-ud-train_Case=All,1.6797542861573336,1.5255948231765961,1.5255948231765961
26,eu_bdt-ud-test_Case=All,1.715028371208356,1.5624731402650052,1.5624731402650052
27,eu_bdt-ud-dev_Case=All,1.7988602114178813,1.6540550354272934,1.6540550354272934
28,fi_ftb-ud-dev_Case=All,0.7071067811865476,0.0,0.0
29,fi_ftb-ud-train_Case=All,0.7071067811865476,0.0,0.0
30,fi_ftb-ud-test_Case=All,0.7071067811865476,0.0,0.0
31,eme_tudet-ud-test_Case=All,1.494511295989706,1.3166487815058465,1.3166487815058465
32,aqz_tudet-ud-test_Case=All,2.7273194908074614,2.634059909139933,2.634059909139933
33,gu_gujtb-ud-test_Case=All,1.224744871391589,1.0,1.0
