,Treebank,ess_sli-ud-test_Case=Equ,gub_tudet-ud-test_Case=Equ,egy_ujaen-ud-test_Case=Equ,ky_ktmu-ud-test_Case=Equ,tt_nmctt-ud-test_Case=Equ,tr_gb-ud-test_Case=Equ,ota_boun-ud-train_Case=Equ,ota_boun-ud-test_Case=Equ,qtd_sagt-ud-test_Case=Equ,qtd_sagt-ud-dev_Case=Equ,qtd_sagt-ud-train_Case=Equ,tr_imst-ud-train_Case=Equ,tr_imst-ud-dev_Case=Equ,tr_imst-ud-test_Case=Equ,tr_boun-ud-dev_Case=Equ,tr_boun-ud-test_Case=Equ,tr_boun-ud-train_Case=Equ
0,sl_ssj-ud-test_Case=Ins,1.733830940589786,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495,2.6649321774579495
1,sl_ssj-ud-dev_Case=Ins,1.8081243416769226,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135,2.7413368399473135
2,sl_ssj-ud-train_Case=Ins,1.7676100088753417,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849,2.697949439910849
3,xcl_caval-ud-train_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,hu_szeged-ud-dev_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,hu_szeged-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,hu_szeged-ud-train_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,xav_xdt-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,tr_pud-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,fi_ood-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pl_pdb-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,pl_pdb-ud-train_Case=Ins,3334.9403792771677,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954,3335.8910353906954
14,pl_pdb-ud-dev_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,sah_yktdt-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,uk_iu-ud-dev_Case=Ins,3.4875727692199114,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617,4.424265218622617
17,uk_iu-ud-train_Case=Ins,3.78252776678633,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951,4.714933003721951
18,uk_iu-ud-test_Case=Ins,3.8511088900844883,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417,4.78021517915417
19,sa_vedic-ud-test_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,sa_vedic-ud-train_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,sa_vedic-ud-dev_Case=Ins,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
