,Treebank,egy_ujaen-ud-test_Case=Sub
0,hu_szeged-ud-dev_Case=Ade,1.6090564005031025
1,hu_szeged-ud-test_Case=Ade,1.5704369421753657
2,hu_szeged-ud-train_Case=Ade,1.547578754054216
3,fi_ood-ud-test_Case=Ade,1.9760124516941735
4,et_ewt-ud-train_Case=Ade,2.064827339310765
5,et_ewt-ud-test_Case=Ade,2.060277380203755
6,et_ewt-ud-dev_Case=Ade,2.316979728380979
7,olo_kkpp-ud-test_Case=Ade,2.1429521150303428
8,vep_vwt-ud-test_Case=Ade,1.8202563921968062
9,fi_tdt-ud-train_Case=Ade,2.27655024956411
10,fi_tdt-ud-test_Case=Ade,2.2918030105225715
11,fi_tdt-ud-dev_Case=Ade,2.315132120353799
12,fi_pud-ud-test_Case=Ade,2.5213589705042248
13,et_edt-ud-dev_Case=Ade,1.9504731997966545
14,et_edt-ud-train_Case=Ade,1.9763267086353369
15,et_edt-ud-test_Case=Ade,1.8618877454246536
16,krl_kkpp-ud-test_Case=Ade,1.791336573274269
17,fi_ftb-ud-dev_Case=Ade,0.894427190999916
18,fi_ftb-ud-train_Case=Ade,0.894427190999916
19,fi_ftb-ud-test_Case=Ade,0.894427190999916
