,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,hu_szeged-ud-dev_Case=Ela,3.677463793998846,1.0827689526491961,1.0827689526491961
1,hu_szeged-ud-test_Case=Ela,3.6291338146860825,1.146066921150376,1.146066921150376
2,hu_szeged-ud-train_Case=Ela,3.5560515527059846,1.2450962012087863,1.2450962012087863
3,fi_ood-ud-test_Case=Ela,3.018463032605643,2.068522117325686,2.068522117325686
4,et_ewt-ud-train_Case=Ela,3.21468073842445,1.731320857985841,1.731320857985841
5,et_ewt-ud-test_Case=Ela,3.218693540769854,1.7364217584408124,1.7364217584408124
6,et_ewt-ud-dev_Case=Ela,3.2036154278342677,1.7642602345031582,1.7642602345031582
7,egy_ujaen-ud-test_Case=Ela,4.58257569495584,0.0,0.0
8,olo_kkpp-ud-test_Case=Ela,3.4522988495984492,1.4021363680319483,1.4021363680319483
9,olo_kkpp-ud-train_Case=Ela,3.7416573867739413,1.0,1.0
10,mdf_jr-ud-test_Case=Ela,17.243356208503414,20.728402414722332,20.728402414722332
11,mdf_jr-ud-train_Case=Ela,4.58257569495584,0.0,0.0
12,vep_vwt-ud-test_Case=Ela,3.3726843908080104,1.541103500742244,1.541103500742244
13,fi_tdt-ud-train_Case=Ela,2.9185697783747155,2.3139522010695543,2.3139522010695543
14,fi_tdt-ud-test_Case=Ela,2.997547418698118,2.1435170928508476,2.1435170928508476
15,fi_tdt-ud-dev_Case=Ela,2.9296607137671744,2.2829522933712147,2.2829522933712147
16,myv_jr-ud-test_Case=Ela,3.136151766839746,1.8503197558178164,1.8503197558178164
17,myv_jr-ud-train_Case=Ela,2.8575713964333915,2.383275057562597,2.383275057562597
18,kpv_ikdp-ud-test_Case=Ela,2.449489742783178,4.123105625617661,4.123105625617661
19,kpv_lattice-ud-test_Case=Ela,2.562584068353202,3.336825538583822,3.336825538583822
20,kpv_lattice-ud-train_Case=Ela,3.1622776601683795,2.23606797749979,2.23606797749979
21,fi_pud-ud-test_Case=Ela,2.744335406046582,2.8276189821937745,2.8276189821937745
22,et_edt-ud-dev_Case=Ela,3.0973757125520924,1.96396624581025,1.96396624581025
23,et_edt-ud-train_Case=Ela,3.1466183767083784,1.8700246112386445,1.8700246112386445
24,et_edt-ud-test_Case=Ela,3.07979992857206,1.9906393640009086,1.9906393640009086
25,wbp_ufal-ud-test_Case=Ela,3.7416573867739413,1.0,1.0
26,koi_uh-ud-train_Case=Ela,4.58257569495584,0.0,0.0
27,koi_uh-ud-test_Case=Ela,2.7386127875258306,3.8078865529319543,3.8078865529319543
28,krl_kkpp-ud-test_Case=Ela,3.3197590273994284,1.555892027102138,1.555892027102138
29,fi_ftb-ud-dev_Case=Ela,4.58257569495584,0.0,0.0
30,fi_ftb-ud-train_Case=Ela,4.58257569495584,0.0,0.0
31,fi_ftb-ud-test_Case=Ela,4.58257569495584,0.0,0.0
