,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,sl_ssj-ud-test_Case=Ins,9.602298487222916,7.528203968603248
1,sl_ssj-ud-dev_Case=Ins,9.53362091075853,7.460091274945911
2,sl_ssj-ud-train_Case=Ins,9.58086471115579,7.508170151775071
3,xcl_caval-ud-train_Case=Ins,11.973930014828047,9.907268912419791
4,xcl_caval-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
5,xcl_caval-ud-test_Case=Ins,11.973930014828047,9.907268912419791
6,hu_szeged-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
7,hu_szeged-ud-test_Case=Ins,11.973930014828047,9.907268912419791
8,hu_szeged-ud-train_Case=Ins,11.973930014828047,9.907268912419791
9,xav_xdt-ud-test_Case=Ins,11.973930014828047,9.907268912419791
10,tr_pud-ud-test_Case=Ins,11.973930014828047,9.907268912419791
11,fi_ood-ud-test_Case=Ins,11.973930014828047,9.907268912419791
12,pl_pdb-ud-test_Case=Ins,11.973930014828047,9.907268912419791
13,pl_pdb-ud-train_Case=Ins,3325.0523868053574,3326.892534698452
14,pl_pdb-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
15,sah_yktdt-ud-test_Case=Ins,11.973930014828047,9.907268912419791
16,uk_iu-ud-dev_Case=Ins,8.194791161266322,6.178086755794225
17,uk_iu-ud-train_Case=Ins,7.999270744361264,5.998020476673677
18,uk_iu-ud-test_Case=Ins,7.974609031034117,5.980121884110147
19,sa_vedic-ud-test_Case=Ins,11.973930014828047,9.907268912419791
20,sa_vedic-ud-train_Case=Ins,11.973930014828047,9.907268912419791
21,sa_vedic-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
22,hr_set-ud-dev_Case=Ins,8.37388294391581,6.336329224707747
23,hr_set-ud-train_Case=Ins,8.514278117513372,6.44846440432555
24,hr_set-ud-test_Case=Ins,8.60346592079844,6.547213128271733
25,orv_rnc-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
26,orv_rnc-ud-train_Case=Ins,11.973930014828047,9.907268912419791
27,orv_rnc-ud-test_Case=Ins,11.973930014828047,9.907268912419791
28,tr_atis-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
29,tr_atis-ud-train_Case=Ins,11.973930014828047,9.907268912419791
30,tr_atis-ud-test_Case=Ins,11.973930014828047,9.907268912419791
31,hi_pud-ud-test_Case=Ins,11.062323444918793,9.000443983578798
32,tr_kenet-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
33,tr_kenet-ud-test_Case=Ins,11.973930014828047,9.907268912419791
34,tr_kenet-ud-train_Case=Ins,1981.6471368535822,1983.160402785005
35,sk_snk-ud-dev_Case=Ins,7.463566338233157,5.485914146921932
36,sk_snk-ud-test_Case=Ins,7.121444052853597,5.198719272479042
37,sk_snk-ud-train_Case=Ins,8.745239407436966,6.699769069783317
38,lt_hse-ud-train_Case=Ins,11.973930014828047,9.907268912419791
39,lt_hse-ud-test_Case=Ins,11.973930014828047,9.907268912419791
40,lt_hse-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
41,hit_hittb-ud-test_Case=Ins,11.973930014828047,9.907268912419791
42,sa_ufal-ud-test_Case=Ins,11.973930014828047,9.907268912419791
43,be_hse-ud-train_Case=Ins,11.973930014828047,9.907268912419791
44,be_hse-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
45,be_hse-ud-test_Case=Ins,613.8797724310518,615.6959630700908
46,cs_pud-ud-test_Case=Ins,8.016495209455204,5.954418483619786
47,orv_ruthenian-ud-test_Case=Ins,11.973930014828047,9.907268912419791
48,orv_ruthenian-ud-train_Case=Ins,11.973930014828047,9.907268912419791
49,orv_ruthenian-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
50,ml_ufal-ud-test_Case=Ins,11.973930014828047,9.907268912419791
51,egy_ujaen-ud-test_Case=Ins,11.062323444918793,9.000443983578798
52,mr_ufal-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
53,mr_ufal-ud-test_Case=Ins,11.973930014828047,9.907268912419791
54,mr_ufal-ud-train_Case=Ins,11.973930014828047,9.907268912419791
55,si_stb-ud-test_Case=Ins,11.973930014828047,9.907268912419791
56,lt_alksnis-ud-test_Case=Ins,6.1303384204575835,4.981063581106107
57,lt_alksnis-ud-dev_Case=Ins,6.752936162470695,5.273384076422661
58,lt_alksnis-ud-train_Case=Ins,6.398384908466432,4.9737731729310495
59,cu_proiel-ud-train_Case=Ins,11.973930014828047,9.907268912419791
60,cu_proiel-ud-test_Case=Ins,11.973930014828047,9.907268912419791
61,cu_proiel-ud-dev_Case=Ins,11.973930014828047,9.907268912419791
62,olo_kkpp-ud-test_Case=Ins,11.973930014828047,9.907268912419791
63,hy_bsut-ud-train_Case=Ins,417.3084890102285,418.95480040240943
