,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,sah_yktdt-ud-test_Case=Cmp,0.4714045207910316,1.0,1.0
1,ml_ufal-ud-test_Case=Cmp,1.247219128924647,2.23606797749979,2.23606797749979
2,egy_ujaen-ud-test_Case=Cmp,1.3743685418725535,0.0,0.0
3,mdf_jr-ud-test_Case=Cmp,1.3743685418725535,0.0,0.0
4,myv_jr-ud-test_Case=Cmp,1.3743685418725535,0.0,0.0
5,myv_jr-ud-train_Case=Cmp,11.728408057172787,12.84523257866513,12.84523257866513
6,kpv_lattice-ud-test_Case=Cmp,1.3743685418725535,0.0,0.0
7,sjo_xdt-ud-test_Case=Cmp,9.67241208569794,10.63014581273465,10.63014581273465
8,koi_uh-ud-train_Case=Cmp,1.3743685418725535,0.0,0.0
9,gu_gujtb-ud-test_Case=Cmp,0.4714045207910316,1.0,1.0
