,Treebank,egy_ujaen-ud-test_Case=Sub
0,hu_szeged-ud-dev_Case=All,1.5615302259301336
1,hu_szeged-ud-test_Case=All,1.5140498468595776
2,hu_szeged-ud-train_Case=All,1.52361123561474
3,fi_ood-ud-test_Case=All,1.711807168753633
4,ess_sli-ud-test_Case=All,41.44635086470219
5,hit_hittb-ud-test_Case=All,1.3416407864998738
6,et_ewt-ud-train_Case=All,1.632658765938582
7,et_ewt-ud-test_Case=All,1.683604975439249
8,et_ewt-ud-dev_Case=All,1.632194479216472
9,ml_ufal-ud-test_Case=All,4.669047011971501
10,egy_ujaen-ud-test_Case=All,0.894427190999916
11,olo_kkpp-ud-test_Case=All,1.5086527293751997
12,olo_kkpp-ud-train_Case=All,1.8165902124584952
13,vep_vwt-ud-test_Case=All,1.4681810363696826
14,fi_tdt-ud-train_Case=All,1.917754210487092
15,fi_tdt-ud-test_Case=All,1.9489172622437048
16,fi_tdt-ud-dev_Case=All,1.6374164577778947
17,tpn_tudet-ud-test_Case=All,1.9692073983655904
18,fi_pud-ud-test_Case=All,1.8295476331156661
19,et_edt-ud-dev_Case=All,1.6625914828738486
20,et_edt-ud-train_Case=All,1.7037123586407315
21,et_edt-ud-test_Case=All,1.769519815676511
22,wbp_ufal-ud-test_Case=All,1.3416407864998738
23,arr_tudet-ud-test_Case=All,1.8165902124584952
24,gn_oldtudet-ud-test_Case=All,1.8165902124584952
25,eu_bdt-ud-train_Case=All,1.7544722005016613
26,eu_bdt-ud-test_Case=All,1.7902398380345441
27,eu_bdt-ud-dev_Case=All,1.872717071902095
28,fi_ftb-ud-dev_Case=All,0.894427190999916
29,fi_ftb-ud-train_Case=All,0.894427190999916
30,fi_ftb-ud-test_Case=All,0.894427190999916
31,eme_tudet-ud-test_Case=All,1.5917173159329614
32,aqz_tudet-ud-test_Case=All,2.7817749019175277
33,gu_gujtb-ud-test_Case=All,1.3416407864998738
