,Treebank,ess_sli-ud-test_Case=Equ,gub_tudet-ud-test_Case=Equ,egy_ujaen-ud-test_Case=Equ,ky_ktmu-ud-test_Case=Equ,tt_nmctt-ud-test_Case=Equ,tr_gb-ud-test_Case=Equ,ota_boun-ud-train_Case=Equ,ota_boun-ud-test_Case=Equ,qtd_sagt-ud-test_Case=Equ,qtd_sagt-ud-dev_Case=Equ,qtd_sagt-ud-train_Case=Equ,tr_imst-ud-train_Case=Equ,tr_imst-ud-dev_Case=Equ,tr_imst-ud-test_Case=Equ,tr_boun-ud-dev_Case=Equ,tr_boun-ud-test_Case=Equ,tr_boun-ud-train_Case=Equ
0,egy_ujaen-ud-test_Case=Lat,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,mdf_jr-ud-test_Case=Lat,33.81567683782183,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404,34.677081768799404
2,myv_jr-ud-test_Case=Lat,8.85045640136127,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976,9.717071966559976
3,myv_jr-ud-train_Case=Lat,10.89923797472796,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476,11.769480071652476
4,sjo_xdt-ud-test_Case=Lat,0.2651650429449553,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459,1.202211503854459
5,eu_bdt-ud-train_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,eu_bdt-ud-test_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,eu_bdt-ud-dev_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fi_ftb-ud-dev_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,fi_ftb-ud-train_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,fi_ftb-ud-test_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ab_abnc-ud-test_Case=Lat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
