,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,sl_ssj-ud-test_Case=Loc,5.9204332774150785,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,5.921615898883808,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,5.916989308579189,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,5.545268253204709,0.0
4,xcl_caval-ud-dev_Case=Loc,5.545268253204709,0.0
5,xcl_caval-ud-test_Case=Loc,5.545268253204709,0.0
6,hu_szeged-ud-train_Case=Loc,5.545268253204709,0.0
7,fa_seraji-ud-dev_Case=Loc,5.545268253204709,0.0
8,fa_seraji-ud-test_Case=Loc,5.545268253204709,0.0
9,fa_seraji-ud-train_Case=Loc,5.545268253204709,0.0
10,tr_pud-ud-test_Case=Loc,1033.7101866577498,1034.690775062772
11,pl_pdb-ud-test_Case=Loc,5.545268253204709,0.0
12,pl_pdb-ud-train_Case=Loc,18056.494503363603,18057.104502106642
13,pl_pdb-ud-dev_Case=Loc,5.545268253204709,0.0
14,uk_iu-ud-dev_Case=Loc,5.891780726408738,2.5312407050621375
15,uk_iu-ud-train_Case=Loc,5.903545510323551,2.5631727626677683
16,uk_iu-ud-test_Case=Loc,5.8917647014008,2.533995936859706
17,sa_vedic-ud-test_Case=Loc,5.545268253204709,0.0
18,sa_vedic-ud-train_Case=Loc,2097.649365625988,2098.8328767304088
19,sa_vedic-ud-dev_Case=Loc,5.545268253204709,0.0
20,bn_bru-ud-test_Case=Loc,5.545268253204709,0.0
21,hr_set-ud-dev_Case=Loc,5.916300250607927,2.5506280728351767
22,hr_set-ud-train_Case=Loc,5.910554966793608,2.5407626679910997
23,hr_set-ud-test_Case=Loc,5.901288821874893,2.4989825192711765
24,orv_rnc-ud-dev_Case=Loc,5.545268253204709,0.0
25,orv_rnc-ud-train_Case=Loc,5.545268253204709,0.0
26,orv_rnc-ud-test_Case=Loc,5.545268253204709,0.0
27,la_circse-ud-test_Case=Loc,5.545268253204709,0.0
28,grc_perseus-ud-test_Case=Loc,5.545268253204709,0.0
29,tr_atis-ud-dev_Case=Loc,12.722320465093187,11.875038059965105
30,tr_atis-ud-train_Case=Loc,54.52864235766596,54.8514508550107
