,Treebank,et_ewt-ud-train_Case=Add,et_ewt-ud-test_Case=Add,et_ewt-ud-dev_Case=Add,et_edt-ud-dev_Case=Add,et_edt-ud-train_Case=Add,et_edt-ud-test_Case=Add
0,hu_szeged-ud-dev_Case=Ade,0.3353823900662866,0.3407942943756566,0.33377863774116173,0.3041838360637346,0.29451598458633943,0.28990384353307913
1,hu_szeged-ud-test_Case=Ade,0.24511226597147945,0.24740926952154552,0.23962739235086816,0.19698586126292275,0.17833340481004067,0.1682312244863643
2,hu_szeged-ud-train_Case=Ade,0.23707158934732298,0.2430319988167499,0.2371382885601449,0.21852006866227014,0.21340901390306238,0.2192939730210571
3,fi_ood-ud-test_Case=Ade,0.7079832911306359,0.7152078369984393,0.6969360047016266,0.6245875743100732,0.5926324486310319,0.554902898287971
4,et_ewt-ud-train_Case=Ade,0.822928339749949,0.8298152856312639,0.811790855151161,0.7386263205633764,0.7060311324616342,0.6677497796112891
5,et_ewt-ud-test_Case=Ade,0.8036732703258083,0.8109148298778769,0.7925904828489323,0.7183467423992042,0.6881020328744456,0.6508066961081707
6,et_ewt-ud-dev_Case=Ade,1.1073113402491932,1.1150594762102335,1.0943175335329005,1.0222307009408795,0.9931431391129747,0.9566496757044604
7,olo_kkpp-ud-test_Case=Ade,0.9534404958642759,0.955951131772554,0.9488213535462027,0.87403784594389,0.8389986722871021,0.800666090574793
8,vep_vwt-ud-test_Case=Ade,0.5924746161641847,0.5968338723382964,0.5873144571734449,0.5106378564189725,0.47226285238422955,0.4319761105858444
9,fi_tdt-ud-train_Case=Ade,1.0560213785951351,1.0620032200272471,1.0455732200406584,0.9654062723684511,0.932556560751871,0.8919495233575225
10,fi_tdt-ud-test_Case=Ade,1.0860364456019835,1.0906235484987339,1.0750953942021237,0.9968525761912939,0.9624612913935136,0.9208812009298663
11,fi_tdt-ud-dev_Case=Ade,1.0920544689770895,1.0975132518668593,1.0801491083391705,0.9988728341363127,0.9673997609074798,0.9264620805530266
12,fi_pud-ud-test_Case=Ade,1.3188933052623069,1.3246522056129737,1.3085677817027126,1.2263897950066924,1.1945020481659543,1.153739749941302
13,et_edt-ud-dev_Case=Ade,0.6966484059044064,0.7024743319728587,0.6889180276375501,0.6032266885830545,0.5700587328418569,0.5300462840562828
14,et_edt-ud-train_Case=Ade,0.7249091942609316,0.7311450243476846,0.7165350137855472,0.6315641280206862,0.5988617144290825,0.5590046739872527
15,et_edt-ud-test_Case=Ade,0.5910673722368832,0.5981897190442753,0.5822127236456154,0.5021402733435354,0.46952488692972105,0.4313746242062732
16,krl_kkpp-ud-test_Case=Ade,0.5472595968245553,0.5518548151029303,0.5432506664986565,0.4738089087546857,0.4365781810062003,0.40014804416022337
17,fi_ftb-ud-dev_Case=Ade,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
18,fi_ftb-ud-train_Case=Ade,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
19,fi_ftb-ud-test_Case=Ade,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
