,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,xcl_caval-ud-train_Case=Abl,3.100779491622051,8.640721644186483,1.9351894565771866,1.9351894565771866,1.9351894565771866
1,xcl_caval-ud-dev_Case=Abl,3.344716456950153,8.976774310107304,1.5405111778306224,1.5405111778306224,1.5405111778306224
2,xcl_caval-ud-test_Case=Abl,3.184147856914784,8.758263163611327,1.7956245877591162,1.7956245877591162,1.7956245877591162
3,hu_szeged-ud-dev_Case=Abl,3.5809100333108996,9.275303229544573,1.2204848763230673,1.2204848763230673,1.2204848763230673
4,hu_szeged-ud-test_Case=Abl,3.5986682568889976,9.29787143507268,1.1853095282186634,1.1853095282186634,1.1853095282186634
5,hu_szeged-ud-train_Case=Abl,3.503480614650745,9.185293381948757,1.3230899037571242,1.3230899037571242,1.3230899037571242
6,tr_pud-ud-test_Case=Abl,3.3174858834369907,8.95810516072873,1.5705228683121009,1.5705228683121009,1.5705228683121009
7,fi_ood-ud-test_Case=Abl,3.080522581829685,8.646058365493236,1.9451830310337004,1.9451830310337004,1.9451830310337004
8,sah_yktdt-ud-test_Case=Abl,3.4226138716316967,9.082951062292475,1.4638501094227998,1.4638501094227998,1.4638501094227998
9,sa_vedic-ud-test_Case=Abl,2.570688349795907,6.48404694780078,4.835176356148253,4.835176356148253,4.835176356148253
10,sa_vedic-ud-train_Case=Abl,3.407919770147665,5.819072904463015,6.156303355579317,6.156303355579317,6.156303355579317
11,sa_vedic-ud-dev_Case=Abl,5.647106087416319,5.415644107761178,8.84095777816305,8.84095777816305,8.84095777816305
12,la_circse-ud-test_Case=Abl,2.545524474563924,7.651544185132666,3.0524509968820435,3.0524509968820435,3.0524509968820435
13,tr_atis-ud-dev_Case=Abl,16.656103423370066,12.778919408541553,19.847563609924517,19.847563609924517,19.847563609924517
14,tr_atis-ud-train_Case=Abl,14.908995140339758,11.281249825845364,18.015411712519857,18.015411712519857,18.015411712519857
15,tr_atis-ud-test_Case=Abl,21.535581023041843,17.329827369788386,24.740949523681046,24.740949523681046,24.740949523681046
16,hi_pud-ud-test_Case=Abl,4.58257569495584,10.36822067666386,0.0,0.0,0.0
17,la_perseus-ud-test_Case=Abl,2.9649074146124295,8.475396311907215,2.1645814420642675,2.1645814420642675,2.1645814420642675
18,la_perseus-ud-train_Case=Abl,2.8394088035286984,8.293827745765295,2.37784999625236,2.37784999625236,2.37784999625236
19,tr_kenet-ud-dev_Case=Abl,3.279787045696952,8.899228860984657,1.6370949844766072,1.6370949844766072,1.6370949844766072
20,tr_kenet-ud-test_Case=Abl,3.0794826345343935,8.617854943239337,1.9732560939189738,1.9732560939189738,1.9732560939189738
21,tr_kenet-ud-train_Case=Abl,3.2658064506215085,8.870010160139735,1.661973692717177,1.661973692717177,1.661973692717177
22,ess_sli-ud-test_Case=Abl,114.61239025515522,110.84899638697682,117.45211790342479,117.45211790342479,117.45211790342479
23,ky_tuecl-ud-test_Case=Abl,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
24,hit_hittb-ud-test_Case=Abl,3.6810726504632,9.3917060224346,1.0796668344321692,1.0796668344321692,1.0796668344321692
25,sa_ufal-ud-test_Case=Abl,2.8356333201827444,8.166007192587315,2.543499116394979,2.543499116394979,2.543499116394979
26,et_ewt-ud-train_Case=Abl,3.5249376143678326,9.20402488447712,1.2835136958394355,1.2835136958394355,1.2835136958394355
27,et_ewt-ud-test_Case=Abl,3.5048571538136977,9.170153541589768,1.3211972336398206,1.3211972336398206,1.3211972336398206
28,et_ewt-ud-dev_Case=Abl,3.5860842154082215,9.282241108697836,1.2083045973594573,1.2083045973594573,1.2083045973594573
29,gub_tudet-ud-test_Case=Abl,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
30,ml_ufal-ud-test_Case=Abl,4.58257569495584,10.36822067666386,0.0,0.0,0.0
31,egy_ujaen-ud-test_Case=Abl,4.58257569495584,10.36822067666386,0.0,0.0,0.0
32,sq_tsa-ud-test_Case=Abl,2.9814239699997196,8.229351263752338,2.560381915956203,2.560381915956203,2.560381915956203
33,mr_ufal-ud-train_Case=Abl,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
34,si_stb-ud-test_Case=Abl,3.2659863237109037,8.878813734578134,1.7320508075688774,1.7320508075688774,1.7320508075688774
35,olo_kkpp-ud-test_Case=Abl,4.58257569495584,10.36822067666386,0.0,0.0,0.0
36,olo_kkpp-ud-train_Case=Abl,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
37,hy_bsut-ud-train_Case=Abl,3.2891012393093706,8.9245713732632,1.6337841938927158,1.6337841938927158,1.6337841938927158
38,hy_bsut-ud-test_Case=Abl,3.3365131678198074,8.984141269249895,1.555949842652198,1.555949842652198,1.555949842652198
39,hy_bsut-ud-dev_Case=Abl,3.3363262227126205,8.982100616664749,1.5685931368795876,1.5685931368795876,1.5685931368795876
40,mdf_jr-ud-test_Case=Abl,2.8158469565727886,6.136755112729322,5.008277172510163,5.008277172510163,5.008277172510163
41,mdf_jr-ud-train_Case=Abl,4.58257569495584,10.36822067666386,0.0,0.0,0.0
42,vep_vwt-ud-test_Case=Abl,3.391164991562634,9.027735042633894,1.5811388300841898,1.5811388300841898,1.5811388300841898
43,la_llct-ud-dev_Case=Abl,2.488413942963215,6.920132702748246,4.155343916539191,4.155343916539191,4.155343916539191
44,la_llct-ud-test_Case=Abl,2.501589034573061,6.818526545408073,4.275279936582964,4.275279936582964,4.275279936582964
45,la_llct-ud-train_Case=Abl,2.456835836335542,7.091510886070758,3.915000890586476,3.915000890586476,3.915000890586476
46,fi_tdt-ud-train_Case=Abl,3.1204173495343275,8.674454320206697,1.8930626924303462,1.8930626924303462,1.8930626924303462
47,fi_tdt-ud-test_Case=Abl,3.253014230770482,8.854940453670723,1.6816667996186203,1.6816667996186203,1.6816667996186203
48,fi_tdt-ud-dev_Case=Abl,2.95423424934449,8.375708925219405,2.26439837484485,2.26439837484485,2.26439837484485
49,myv_jr-ud-test_Case=Abl,3.243670577182762,8.873584390587416,1.6672809540006404,1.6672809540006404,1.6672809540006404
50,myv_jr-ud-train_Case=Abl,3.0558573755662684,8.589188654098836,2.0580816789521883,2.0580816789521883,2.0580816789521883
51,tr_framenet-ud-test_Case=Abl,3.562211267236411,9.242300489769594,1.2391541302759241,1.2391541302759241,1.2391541302759241
52,tr_framenet-ud-train_Case=Abl,2.925938303937517,8.369465757365395,2.31313394395121,2.31313394395121,2.31313394395121
53,tr_framenet-ud-dev_Case=Abl,2.85657137141714,8.1706792863262,2.6758176320519302,2.6758176320519302,2.6758176320519302
54,ky_ktmu-ud-train_Case=Abl,3.0463092423455636,8.542833253669418,2.06881608655772,2.06881608655772,2.06881608655772
55,ky_ktmu-ud-test_Case=Abl,2.9483969483033796,8.34517969588441,2.307747305488443,2.307747305488443,2.307747305488443
56,la_proiel-ud-test_Case=Abl,2.705957086688837,8.085579120874016,2.615626502506727,2.615626502506727,2.615626502506727
57,la_proiel-ud-dev_Case=Abl,2.7186092006254428,8.106616117383023,2.59310032953965,2.59310032953965,2.59310032953965
