,Treebank,arr_tudet-ud-test_Case=Sim
0,fi_ood-ud-test_Case=Abe,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,1.0
2,sms_giellagas-ud-train_Case=Abe,0.0
3,et_ewt-ud-train_Case=Abe,4.723895928549249
4,et_ewt-ud-test_Case=Abe,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,0.0
6,gub_tudet-ud-test_Case=Abe,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,0.0
8,olo_kkpp-ud-train_Case=Abe,0.0
9,mdf_jr-ud-test_Case=Abe,1.5811388300841898
10,fi_tdt-ud-train_Case=Abe,12.021392967908872
11,fi_tdt-ud-test_Case=Abe,9.0
12,fi_tdt-ud-dev_Case=Abe,3.3166247903554
13,myv_jr-ud-test_Case=Abe,1.6370705543744901
14,myv_jr-ud-train_Case=Abe,1.6350747346085137
15,kpv_ikdp-ud-test_Case=Abe,1.0
16,kpv_lattice-ud-test_Case=Abe,2.6246692913372702
17,fi_pud-ud-test_Case=Abe,2.23606797749979
18,et_edt-ud-dev_Case=Abe,3.7916412290559007
19,et_edt-ud-train_Case=Abe,4.787656304765619
20,et_edt-ud-test_Case=Abe,4.286607049870562
21,koi_uh-ud-test_Case=Abe,2.1213203435596424
22,sme_giella-ud-train_Case=Abe,0.0
23,sme_giella-ud-test_Case=Abe,0.0
24,arr_tudet-ud-test_Case=Abe,1.0
25,krl_kkpp-ud-test_Case=Abe,2.23606797749979
26,fi_ftb-ud-dev_Case=Abe,0.0
27,fi_ftb-ud-train_Case=Abe,0.0
28,fi_ftb-ud-test_Case=Abe,0.0
29,ab_abnc-ud-test_Case=Abe,1.0
