,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,hu_szeged-ud-dev_Case=Tra,3.36804839632687,9.019077003773724,1.5309310892394863,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,3.6113247800034083,9.311730952585204,1.1726039399558574,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,3.6472455360175573,9.353202660051796,1.1235657524150513,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.536300075645971,7.513325459011616,3.451894652855358,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,2.792372994206811,7.269618073790088,4.0984566532751705,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,2.7441961017569354,7.213224815912641,4.100771455544949,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,3.462973794298767,6.841395142805304,5.3378073681990434,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,3.142857142857143,8.706671146252141,1.932535608352669,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,2.766992952647332,7.256462636849996,3.9567979478361033,3.9567979478361033,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,3.1622776601683795,7.968688725254614,3.605551275463989,3.605551275463989,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,2.6045785527692678,6.901824453642457,4.293306195252593,4.293306195252593,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,3.1094435279088826,6.010838337103477,5.606948352043668,5.606948352043668,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,2.73115360241785,6.63318927816778,4.688197948039311,4.688197948039311,4.688197948039311
14,myv_jr-ud-test_Case=Tra,3.456936971242099,6.3600639323155,5.756060406646084,5.756060406646084,5.756060406646084
15,myv_jr-ud-train_Case=Tra,8.912911982062877,6.537583651472461,12.167168939404103,12.167168939404103,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
17,kpv_lattice-ud-test_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
18,tpn_tudet-ud-test_Case=Tra,3.4191583161840198,9.077441595334653,1.4281039179389805,1.4281039179389805,1.4281039179389805
19,fi_pud-ud-test_Case=Tra,6.2522723141997805,5.372488842579049,9.375984796760866,9.375984796760866,9.375984796760866
20,et_edt-ud-dev_Case=Tra,2.88636005726335,6.843323343242323,4.6850033295982945,4.6850033295982945,4.6850033295982945
21,et_edt-ud-train_Case=Tra,2.7451734611556766,7.005837249161722,4.346730359605627,4.346730359605627,4.346730359605627
22,et_edt-ud-test_Case=Tra,2.668873840357796,7.48066246322006,3.641976368707614,3.641976368707614,3.641976368707614
23,krl_kkpp-ud-test_Case=Tra,3.488959659579463,9.165488139728629,1.3562839573037448,1.3562839573037448,1.3562839573037448
24,fi_ftb-ud-dev_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
25,fi_ftb-ud-train_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
26,fi_ftb-ud-test_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
27,eme_tudet-ud-test_Case=Tra,2.93598365118064,8.355836283700155,2.453568829277059,2.453568829277059,2.453568829277059
28,aqz_tudet-ud-test_Case=Tra,4.58257569495584,10.36822067666386,0.0,0.0,0.0
