,Treebank,hu_szeged-ud-dev_Case=Tra,hu_szeged-ud-test_Case=Tra,hu_szeged-ud-train_Case=Tra,fi_ood-ud-test_Case=Tra,et_ewt-ud-train_Case=Tra,et_ewt-ud-test_Case=Tra,et_ewt-ud-dev_Case=Tra,gub_tudet-ud-test_Case=Tra,olo_kkpp-ud-test_Case=Tra,mdf_jr-ud-test_Case=Tra,vep_vwt-ud-test_Case=Tra,fi_tdt-ud-train_Case=Tra,fi_tdt-ud-test_Case=Tra,fi_tdt-ud-dev_Case=Tra,myv_jr-ud-test_Case=Tra,myv_jr-ud-train_Case=Tra,kpv_ikdp-ud-test_Case=Tra,kpv_lattice-ud-test_Case=Tra,tpn_tudet-ud-test_Case=Tra,fi_pud-ud-test_Case=Tra,et_edt-ud-dev_Case=Tra,et_edt-ud-train_Case=Tra,et_edt-ud-test_Case=Tra,krl_kkpp-ud-test_Case=Tra,fi_ftb-ud-dev_Case=Tra,fi_ftb-ud-train_Case=Tra,fi_ftb-ud-test_Case=Tra,eme_tudet-ud-test_Case=Tra,aqz_tudet-ud-test_Case=Tra
0,el_gud-ud-train_Case=Voc,10.930176119349586,11.216926693370356,11.256216060470765,9.498127566479829,9.208547493431062,9.147320339189783,8.759072677325303,12.220201853215572,10.651243100776393,9.228014412645873,9.91631652042901,8.795348416172605,7.802164267585157,8.463600494667343,8.345500759098293,7.5568953060543755,12.220201853215572,12.220201853215572,10.969687982975792,6.873312465065461,8.757897655822557,8.920708647733502,9.40707344103523,11.078284842958695,12.220201853215572,12.220201853215572,12.220201853215572,10.299029080452195,12.220201853215572
1,el_gud-ud-test_Case=Voc,13.1089187197114,13.374415875095258,13.412024455689005,11.732730117272633,11.460375390083547,11.398397667556399,10.991118573648453,14.33527118683145,12.832118504211316,11.495923190418418,12.103718436910205,11.104542154657826,10.21195493863144,10.8147676812773,10.582810012874418,9.150956234186676,14.33527118683145,14.33527118683145,13.143393135945301,9.02269864891269,11.034004540435312,11.19622291878804,11.65993893291489,13.241582464827967,14.33527118683145,14.33527118683145,14.33527118683145,12.476778430348116,14.33527118683145
2,fa_seraji-ud-dev_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
3,fa_seraji-ud-test_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
4,fa_seraji-ud-train_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
5,sga_dipsgg-ud-test_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
6,pl_pdb-ud-test_Case=Voc,5.122666218257194,5.339574367097878,5.371386018068525,4.269347606079078,4.340295297016796,4.302348670393028,4.628807726552028,6.202369527454974,4.915614438310072,4.3487184365990315,4.725095831011779,4.1541639587898676,4.239480114768946,4.161389093040144,4.514514363614484,8.815292834336363,6.202369527454974,6.202369527454974,5.16992627205889,6.449748668356944,4.28745615920274,4.251057421019296,4.333165633875864,5.230345397348113,6.202369527454974,6.202369527454974,6.202369527454974,4.706010052288977,6.202369527454974
7,pl_pdb-ud-train_Case=Voc,5.3125698828655965,5.5516607100144775,5.586306605227044,4.274382178701494,4.303715049997342,4.252619662307167,4.4879530550092595,6.473643321286683,5.060660450605549,4.339510721934573,4.781485470623656,4.067753313380133,3.980035542363927,4.024694639615379,4.324039089738526,8.37490101088656,6.473643321286683,6.473643321286683,5.365831485535577,5.995435591671742,4.161000555135112,4.162004755856383,4.326340879389517,5.417898543728905,6.473643321286683,6.473643321286683,6.473643321286683,4.833205564949401,6.473643321286683
8,pl_pdb-ud-dev_Case=Voc,3.2068286514873225,3.4227182180249662,3.4551989812455086,2.6011385049623215,2.9162458394172406,2.8708954729015357,3.6649948840346283,4.328972164382673,3.007677251464923,2.8803211626483596,3.1843366656181313,2.780757670371411,3.4026269002764917,2.9460482005561284,3.729422883144564,9.279008567729637,4.328972164382673,4.328972164382673,3.250465706950401,6.605369716443516,3.073076903185562,2.9043563093936697,2.7416920516001646,3.306820486266991,4.328972164382673,4.328972164382673,4.328972164382673,2.863564212655271,4.328972164382673
9,uk_iu-ud-dev_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
10,uk_iu-ud-train_Case=Voc,40.58440279220578,40.870221433214674,40.909930334822135,39.03515291248784,38.67530852877477,38.631203682504946,37.93322669507565,41.86884283091664,40.257462231319586,38.79956507488196,39.370039370059054,38.40403596090122,37.331614059454,38.1019579549398,37.489943555153495,32.93842740629856,41.86884283091664,41.86884283091664,40.647577139505636,34.706562125129224,38.15666487496208,38.399097746547696,38.958963046854514,40.70838782740202,41.86884283091664,41.86884283091664,41.86884283091664,39.86063220773098,41.86884283091664
11,uk_iu-ud-test_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
12,sa_vedic-ud-test_Case=Voc,345.87872694052754,346.1589832239901,346.19777931119086,344.37011723676017,344.00367137338424,343.9760611034508,343.2207630483622,347.1296587732025,345.5767731234971,344.11031116489374,344.6418430777087,343.73273919078423,342.67316703862883,343.4310690662684,342.7505658831553,337.8577215337841,347.1296587732025,347.1296587732025,345.9473914055941,339.89196144443525,343.51790238093616,343.75557905871887,344.30132892012585,346.0185537022153,347.1296587732025,347.1296587732025,347.1296587732025,345.206923453166,347.1296587732025
13,sa_vedic-ud-train_Case=Voc,157.97391737228205,158.25541590116234,158.29439880687127,156.45679084681385,156.09792733653794,156.06877442167198,155.32245459746457,159.23164714190312,157.66429872602586,156.20656875617036,156.73924567808177,155.8211393056252,154.75982913553048,155.51910296926758,154.84798200111766,150.01592750156607,159.23164714190312,159.23164714190312,158.04360991864982,151.99787437711063,155.6121565390886,155.84800769989985,156.39263089559893,158.11224157004597,159.23164714190312,159.23164714190312,159.23164714190312,157.30747825415494,159.23164714190312
14,sa_vedic-ud-dev_Case=Voc,413.86240920141563,414.1421354237375,414.1807605381979,412.3563303296086,411.9945529162407,411.9676156283776,411.21632650893133,415.10841957252563,413.5562049998495,412.10211871573773,412.6305853908554,411.7235034448446,410.66388018086894,411.4222395544509,410.7447177268332,405.8682544866006,415.10841957252563,415.10841957252563,413.93187557898375,407.8896909704878,411.5114095201848,411.74757186366355,412.2909586008617,414.0015506620927,415.10841957252563,415.10841957252563,415.10841957252563,413.19767666336173,415.10841957252563
15,kmr_mg-ud-test_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
16,hr_set-ud-dev_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
17,hr_set-ud-train_Case=Voc,32.69699909777654,32.99052894392571,33.03123370387488,31.085284091338767,30.747546774548717,30.689026158068497,29.983198420115222,34.0147027033899,32.3311942626464,30.897512035761068,31.464265445104548,30.43202513408974,29.30042308396601,30.11211052051981,29.553425498200475,25.080669847514045,34.0147027033899,34.0147027033899,32.769348154561314,26.59459958850156,30.199099652716647,30.445051911223654,31.012468368774073,32.79829866108497,34.0147027033899,34.0147027033899,34.0147027033899,31.998749975584982,34.0147027033899
18,hr_set-ud-test_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
19,orv_rnc-ud-dev_Case=Voc,1.5309310892394863,1.1726039399558574,1.1235657524150513,3.451894652855358,4.0984566532751705,4.100771455544949,5.3378073681990434,0.0,1.932535608352669,3.9567979478361033,3.605551275463989,4.293306195252593,5.606948352043668,4.688197948039311,5.756060406646084,12.167168939404103,0.0,0.0,1.4281039179389805,9.375984796760866,4.6850033295982945,4.346730359605627,3.641976368707614,1.3562839573037448,0.0,0.0,0.0,2.453568829277059,0.0
20,orv_rnc-ud-train_Case=Voc,58.590474908469545,58.8315627684475,58.865233655642044,57.30876797697921,57.010836182052884,56.98502011061154,56.3914194492389,59.679700624807644,58.337045557293536,57.097048230768166,57.555770055370346,56.775062336482016,55.90561572706704,56.52839286588643,55.981697127035545,52.24404272259183,59.679700624807644,59.679700624807644,58.64874371813229,53.727144541712434,56.609755411178895,56.8025426919768,57.255197601631956,58.71168306559659,59.679700624807644,59.679700624807644,59.679700624807644,58.01683663673273,59.679700624807644
21,orv_rnc-ud-test_Case=Voc,11.142542349033276,11.376144631054348,11.409092864903853,10.013226983617514,9.844552000047166,9.815907539108473,9.552077653578827,12.232129822725067,10.908829039837785,9.904228894770153,10.350120772242226,9.616025741394791,9.04929792301084,9.451148078408252,9.226097103791778,9.49552526193259,12.232129822725067,12.232129822725067,11.199120266963876,8.706711100169695,9.558512713244472,9.673418009628518,10.001964737924792,11.26045467581895,12.232129822725067,12.232129822725067,12.232129822725067,10.634613298094106,12.232129822725067
