,Treebank,egy_ujaen-ud-test_Case=Sub
0,hu_szeged-ud-dev_Case=Ela,1.404417532225028
1,hu_szeged-ud-test_Case=Ela,1.4379690893898993
2,hu_szeged-ud-train_Case=Ela,1.5330572560294513
3,fi_ood-ud-test_Case=Ela,2.2193445736730215
4,et_ewt-ud-train_Case=Ela,1.9229686980378877
5,et_ewt-ud-test_Case=Ela,1.9461691386645024
6,et_ewt-ud-dev_Case=Ela,1.9605603716152338
7,egy_ujaen-ud-test_Case=Ela,0.894427190999916
8,olo_kkpp-ud-test_Case=Ela,1.616664913387085
9,olo_kkpp-ud-train_Case=Ela,1.3416407864998738
10,mdf_jr-ud-test_Case=Ela,20.728402414722332
11,mdf_jr-ud-train_Case=Ela,0.894427190999916
12,vep_vwt-ud-test_Case=Ela,1.7818529681205462
13,fi_tdt-ud-train_Case=Ela,2.4395095593597067
14,fi_tdt-ud-test_Case=Ela,2.2962557626152513
15,fi_tdt-ud-dev_Case=Ela,2.408716758499776
16,myv_jr-ud-test_Case=Ela,2.0513402751030605
17,myv_jr-ud-train_Case=Ela,2.545584412271571
18,kpv_ikdp-ud-test_Case=Ela,4.219004621945797
19,kpv_lattice-ud-test_Case=Ela,3.4483563376922013
20,kpv_lattice-ud-train_Case=Ela,2.4083189157584592
21,fi_pud-ud-test_Case=Ela,2.923983152221577
22,et_edt-ud-dev_Case=Ela,2.110593724506205
23,et_edt-ud-train_Case=Ela,2.034318466986436
24,et_edt-ud-test_Case=Ela,2.1444535699207803
25,wbp_ufal-ud-test_Case=Ela,1.3416407864998738
26,koi_uh-ud-train_Case=Ela,0.894427190999916
27,koi_uh-ud-test_Case=Ela,3.9115214431215892
28,krl_kkpp-ud-test_Case=Ela,1.7767385851610247
29,fi_ftb-ud-dev_Case=Ela,0.894427190999916
30,fi_ftb-ud-train_Case=Ela,0.894427190999916
31,fi_ftb-ud-test_Case=Ela,0.894427190999916
