,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,hu_szeged-ud-dev_Case=Ter,5.707640536493794,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,5.634713834792322,1.0
2,hu_szeged-ud-train_Case=Ter,5.647947021312749,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,5.693417251528295,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,5.689903338370521,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,5.659505278732409,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,5.979130371550699,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,5.634713834792322,1.0
8,kpv_ikdp-ud-test_Case=Ter,5.979130371550699,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,5.875841233736803,3.431546328418375
10,et_edt-ud-dev_Case=Ter,5.654164673084039,1.1658100334413286
11,et_edt-ud-train_Case=Ter,5.656050438936947,1.2325679372360732
12,et_edt-ud-test_Case=Ter,5.657945196177728,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,5.634713834792322,1.0
14,gu_gujtb-ud-test_Case=Ter,5.634713834792322,1.0
