,Treebank,hu_szeged-ud-dev_Case=Sup,hu_szeged-ud-test_Case=Sup,hu_szeged-ud-train_Case=Sup,egy_ujaen-ud-test_Case=Sup
0,fi_ood-ud-test_Case=Par,9.894237271368409,9.80934310755731,9.78029591548935,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,5.488056191817397,5.42309589955797,5.400628953751644,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
3,et_ewt-ud-train_Case=Par,48.23473570882091,48.155890559691656,48.12780608628163,49.174596926907114
4,et_ewt-ud-test_Case=Par,43.15679833953846,43.07937840622227,43.05175058243545,44.08588319352249
5,et_ewt-ud-dev_Case=Par,30.727553252422936,30.64948970432954,30.62146107089509,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,138.77954128618933,138.69602442520846,138.66779627682192,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
8,vep_vwt-ud-test_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
9,fi_tdt-ud-train_Case=Par,17.734450048975187,17.6513123847705,17.622695095576425,18.711198078741774
10,fi_tdt-ud-test_Case=Par,17.693846917376664,17.609823875143675,17.581167428724104,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,16.122854725630607,16.038855117148145,16.00965565573694,17.107076434426677
12,ru_taiga-ud-train_Case=Par,45.695037388363794,45.61482424999602,45.58726817672614,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
14,ru_taiga-ud-test_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
15,fi_pud-ud-test_Case=Par,20.855963614457597,20.77410454035022,20.745988770856812,21.823579013918195
16,et_edt-ud-dev_Case=Par,90.64034638603043,90.56030473992206,90.53235284168503,91.58649739557852
17,et_edt-ud-train_Case=Par,79.33053971610397,79.2512021148404,79.22357465533315,80.27025559877289
18,et_edt-ud-test_Case=Par,80.85675897750768,80.77756685955086,80.74995152902412,81.79242650183359
19,ru_syntagrus-ud-train_Case=Par,83.3363635239877,83.25873976294368,83.23199755249108,84.27039812413372
20,ru_syntagrus-ud-dev_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
21,ru_syntagrus-ud-test_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
22,ru_poetry-ud-dev_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
23,ru_poetry-ud-train_Case=Par,11.426205890600798,11.346975721516785,11.322858163146805,12.36931687685298
24,krl_kkpp-ud-test_Case=Par,34.2722193545594,34.18918634543623,34.16149933274084,35.21696420620656
25,eu_bdt-ud-train_Case=Par,28.12146889079835,28.04164258983062,28.014052540752107,29.085810543974876
26,eu_bdt-ud-test_Case=Par,16.737813863777383,16.656954577667225,16.628846441854854,17.713271860387625
27,eu_bdt-ud-dev_Case=Par,10.307142988055674,10.226808019704738,10.198971202437974,11.285692885477854
28,fi_ftb-ud-dev_Case=Par,8.428682316682163,8.347962466552449,8.31922538366004,9.401034930993175
29,fi_ftb-ud-train_Case=Par,10.337654389615178,10.256239346512585,10.22756063614392,11.310617670681031
30,fi_ftb-ud-test_Case=Par,10.610773077973628,10.530113425046647,10.501595363422398,11.574769776600762
31,ru_gsd-ud-dev_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
32,ru_gsd-ud-train_Case=Par,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
