,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,el_gud-ud-train_Case=Voc,11.357816691600545,11.888369666751338
1,el_gud-ud-test_Case=Voc,13.509256086106296,12.98075498574717
2,fa_seraji-ud-dev_Case=Voc,1.0,21.494185260204677
3,fa_seraji-ud-test_Case=Voc,1.0,21.494185260204677
4,fa_seraji-ud-train_Case=Voc,1.0,21.494185260204677
5,sga_dipsgg-ud-test_Case=Voc,1.0,21.494185260204677
6,pl_pdb-ud-test_Case=Voc,5.454823740581938,18.31192318169353
7,pl_pdb-ud-train_Case=Voc,5.6768159798800495,17.950661259948657
8,pl_pdb-ud-dev_Case=Voc,3.5411862419251547,18.92987057536316
9,uk_iu-ud-dev_Case=Voc,1.0,21.494185260204677
10,uk_iu-ud-train_Case=Voc,41.012193308819754,31.416556144810016
11,uk_iu-ud-test_Case=Voc,1.0,21.494185260204677
12,sa_vedic-ud-test_Case=Voc,346.2975599105486,333.31516617159804
13,sa_vedic-ud-train_Case=Voc,158.3946821905975,145.82102071753062
14,sa_vedic-ud-dev_Case=Voc,414.28009848410534,401.284188574631
15,kmr_mg-ud-test_Case=Voc,1.0,21.494185260204677
16,hr_set-ud-dev_Case=Voc,1.0,21.494185260204677
17,hr_set-ud-train_Case=Voc,33.13608305156178,24.392621835300936
18,hr_set-ud-test_Case=Voc,1.0,21.494185260204677
19,orv_rnc-ud-dev_Case=Voc,1.0,21.494185260204677
20,orv_rnc-ud-train_Case=Voc,58.95195784139262,50.362022728771855
21,orv_rnc-ud-test_Case=Voc,11.49456393257265,17.208282889353022
22,cpg_tuecl-ud-test_Case=Voc,24.576411454889016,19.05255888325765
23,la_circse-ud-test_Case=Voc,52.21110992882645,41.14203041497425
24,grc_perseus-ud-dev_Case=Voc,1.0,21.494185260204677
25,grc_perseus-ud-train_Case=Voc,1.0,21.494185260204677
26,grc_perseus-ud-test_Case=Voc,1.0,21.494185260204677
27,qpm_philotis-ud-train_Case=Voc,88.45337754998393,77.0
28,qpm_philotis-ud-dev_Case=Voc,1.0,21.494185260204677
29,qpm_philotis-ud-test_Case=Voc,1.0,21.494185260204677
30,la_perseus-ud-test_Case=Voc,1.0,21.494185260204677
31,la_perseus-ud-train_Case=Voc,1.0,21.494185260204677
32,sk_snk-ud-train_Case=Voc,1.0,21.494185260204677
33,lt_hse-ud-train_Case=Voc,1.0,21.494185260204677
34,ess_sli-ud-test_Case=Voc,1.0,21.494185260204677
35,hit_hittb-ud-test_Case=Voc,1.0,21.494185260204677
36,sa_ufal-ud-test_Case=Voc,1.0,21.494185260204677
37,be_hse-ud-train_Case=Voc,1.0,21.494185260204677
38,be_hse-ud-dev_Case=Voc,1.0,21.494185260204677
39,be_hse-ud-test_Case=Voc,1.0,21.494185260204677
40,cs_pud-ud-test_Case=Voc,1.0,21.494185260204677
41,orv_ruthenian-ud-test_Case=Voc,5.612486080160912,17.790446874657196
42,orv_ruthenian-ud-train_Case=Voc,7.3484692283495345,17.05872210923198
43,orv_ruthenian-ud-dev_Case=Voc,1.0,21.494185260204677
44,ml_ufal-ud-test_Case=Voc,1.0,21.494185260204677
45,egy_ujaen-ud-test_Case=Voc,1.0,21.494185260204677
46,ro_nonstandard-ud-test_Case=Voc,21.24983660067897,19.249819623974545
47,ro_nonstandard-ud-dev_Case=Voc,70.92249290598858,61.34329629226001
48,ro_nonstandard-ud-train_Case=Voc,34.82881948425278,27.498121147937844
49,ro_simonero-ud-train_Case=Voc,1.4142135623730951,19.87460691435179
50,mr_ufal-ud-dev_Case=Voc,1.0,21.494185260204677
51,mr_ufal-ud-test_Case=Voc,1.0,21.494185260204677
52,ro_tuecl-ud-test_Case=Voc,5.0990195135927845,17.349351572897472
53,lt_alksnis-ud-test_Case=Voc,1.0,21.494185260204677
54,lt_alksnis-ud-dev_Case=Voc,1.0,21.494185260204677
55,lt_alksnis-ud-train_Case=Voc,1.0,21.494185260204677
56,vi_tuecl-ud-test_Case=Voc,1.0,21.494185260204677
57,cu_proiel-ud-train_Case=Voc,16.27104901384912,17.13229281397303
58,cu_proiel-ud-test_Case=Voc,16.995867266257154,16.907380167614125
59,cu_proiel-ud-dev_Case=Voc,20.836236712289928,18.157483715428
