,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,fi_ood-ud-test_Case=Abe,7.298211348603773,5.667514893907832
1,sms_giellagas-ud-test_Case=Abe,11.062323444918793,9.000443983578798
2,sms_giellagas-ud-train_Case=Abe,11.973930014828047,9.907268912419791
3,et_ewt-ud-train_Case=Abe,8.10494865768835,6.106510375759015
4,et_ewt-ud-test_Case=Abe,6.406377031260857,5.546153326320687
5,et_ewt-ud-dev_Case=Abe,11.973930014828047,9.907268912419791
6,gub_tudet-ud-test_Case=Abe,10.216408370851275,8.17691913253885
7,olo_kkpp-ud-test_Case=Abe,11.973930014828047,9.907268912419791
8,olo_kkpp-ud-train_Case=Abe,11.973930014828047,9.907268912419791
9,mdf_jr-ud-test_Case=Abe,10.482127646618315,8.370348644297154
10,fi_tdt-ud-train_Case=Abe,6.9562122515697355,6.779278755870425
11,fi_tdt-ud-test_Case=Abe,6.882949948968102,5.771244404331918
12,fi_tdt-ud-dev_Case=Abe,9.365272731390865,7.371986938059628
13,myv_jr-ud-test_Case=Abe,10.509757371128984,8.460580509543899
14,myv_jr-ud-train_Case=Abe,10.422087025120433,8.323460904892885
15,kpv_ikdp-ud-test_Case=Abe,11.062323444918793,9.000443983578798
16,kpv_lattice-ud-test_Case=Abe,9.456772999049706,7.358167087181839
17,fi_pud-ud-test_Case=Abe,10.216408370851275,8.176026416293793
18,et_edt-ud-dev_Case=Abe,8.703536247404072,6.647730514957279
19,et_edt-ud-train_Case=Abe,7.983296094278705,5.989316672503171
20,et_edt-ud-test_Case=Abe,8.5,6.438277918704199
21,koi_uh-ud-test_Case=Abe,10.142731387550397,8.113966912357016
22,sme_giella-ud-train_Case=Abe,11.973930014828047,9.907268912419791
23,sme_giella-ud-test_Case=Abe,11.973930014828047,9.907268912419791
24,arr_tudet-ud-test_Case=Abe,11.062323444918793,9.000443983578798
25,krl_kkpp-ud-test_Case=Abe,10.216408370851275,8.176026416293793
26,fi_ftb-ud-dev_Case=Abe,11.973930014828047,9.907268912419791
27,fi_ftb-ud-train_Case=Abe,11.973930014828047,9.907268912419791
28,fi_ftb-ud-test_Case=Abe,11.973930014828047,9.907268912419791
29,ab_abnc-ud-test_Case=Abe,11.062323444918793,9.000443983578798
