,Treebank,hu_szeged-ud-dev_Case=Tra,hu_szeged-ud-test_Case=Tra,hu_szeged-ud-train_Case=Tra,fi_ood-ud-test_Case=Tra,et_ewt-ud-train_Case=Tra,et_ewt-ud-test_Case=Tra,et_ewt-ud-dev_Case=Tra,gub_tudet-ud-test_Case=Tra,olo_kkpp-ud-test_Case=Tra,mdf_jr-ud-test_Case=Tra,vep_vwt-ud-test_Case=Tra,fi_tdt-ud-train_Case=Tra,fi_tdt-ud-test_Case=Tra,fi_tdt-ud-dev_Case=Tra,myv_jr-ud-test_Case=Tra,myv_jr-ud-train_Case=Tra,kpv_ikdp-ud-test_Case=Tra,kpv_lattice-ud-test_Case=Tra,tpn_tudet-ud-test_Case=Tra,fi_pud-ud-test_Case=Tra,et_edt-ud-dev_Case=Tra,et_edt-ud-train_Case=Tra,et_edt-ud-test_Case=Tra,krl_kkpp-ud-test_Case=Tra,fi_ftb-ud-dev_Case=Tra,fi_ftb-ud-train_Case=Tra,fi_ftb-ud-test_Case=Tra,eme_tudet-ud-test_Case=Tra,aqz_tudet-ud-test_Case=Tra
0,hu_szeged-ud-dev_Case=Ter,0.2959343854536461,0.3828902431136172,0.4328259137400835,2.1207372445140926,2.8400312100173317,2.8313429494597218,4.128143676769182,1.469861839480328,0.7280853930907757,2.699808520873789,2.5482988758177143,2.9600491266655884,4.2466764752619355,3.3542219572162493,4.474371236206479,10.849497911805486,1.469861839480328,1.469861839480328,0.31903512835246817,8.045884128106621,3.3970653593669096,3.052564630669961,2.3633362491096945,0.3849001794597505,1.469861839480328,1.469861839480328,1.469861839480328,1.2393745933800844,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,0.5863019699779287,0.2041241452319316,0.14966629547095772,2.5089613467008616,3.20894794890405,3.2007652146297256,4.485218779502289,1.0,1.0101525445522108,3.0669610365963242,2.8284271247461903,3.3571291193566175,4.6632137126854385,3.7548901448644276,4.856621959706575,11.253443917308159,1.0,1.0,0.4497460373445051,8.453079051715147,3.780834662320167,3.4357739953751767,2.7347240805253215,0.41573970964154894,1.0,1.0,1.0,1.5556349186104044,1.0
2,hu_szeged-ud-train_Case=Ter,0.4370036867375632,0.10206207261596578,0.12924997313560865,2.3949653988025013,3.100343317248471,3.092546906981701,4.381047407742684,1.1288514320120056,0.9112782256452459,2.9586267460127886,2.743046765105465,3.2418251091239103,4.542956903749232,3.638704745128715,4.746340599001124,11.138415756091865,1.1288514320120056,1.1288514320120056,0.3491788809076844,8.336760658842755,3.6689835842889034,3.32390277879978,2.624985126535541,0.3373599389303088,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.455783485122549,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,0.3657184709581949,0.3958114029012638,0.42355637169094734,2.106940289630104,2.8165690519654927,2.8003644077738397,4.111835052625531,1.4713938969562161,0.7169237001499774,2.6662239215789807,2.542636427018224,2.927187051102175,4.210219322738677,3.313638483600769,4.466741190118824,10.83535878501492,1.4713938969562161,1.4713938969562161,0.18631521293818493,8.031840047302644,3.365423358236715,3.0185356034693838,2.333045713155349,0.37126743214674723,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.1768602295939818,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,0.46770717334674267,0.28867513459481287,0.2956349099818896,2.286970018785819,2.98643190282385,2.972235467366169,4.274744144390398,1.2747548783981961,0.8466621136521213,2.8449516691852605,2.669269563007828,3.1370785565519532,4.436017858154972,3.5332987419690403,4.640038650451734,11.007497444923619,1.2747548783981961,1.2747548783981961,0.26731544029238724,8.228967680754925,3.5402467579870778,3.1989381372088115,2.513040437064803,0.3621779114001471,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2529964086141667,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,0.47302219821061253,0.2345207879911715,0.23323807579381198,2.3317281155306775,3.039300402851865,3.0231082801430365,4.324024456452577,1.2165525060596438,0.8703740692415896,2.8872564832380236,2.6981475126464085,3.1569814919077928,4.454317764322852,3.5467167916257427,4.685902895965005,11.074294559925702,1.2165525060596438,1.2165525060596438,0.2786042629185478,8.264271402742157,3.6005279686307894,3.2518100002793604,2.555963404557941,0.3456966485800899,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.4071247279470287,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,1.159202311936963,1.3070322617798436,1.335065541462291,1.7670521345267527,2.543378758699553,2.470230923684369,3.773882284862632,2.23606797749979,0.8571428571428572,2.481179155159901,2.449489742783178,2.558777628294254,3.738493193914728,2.915338745326176,4.128113650815537,10.384603988597734,2.23606797749979,2.23606797749979,1.168358761588881,7.495453167208649,2.95791416345152,2.6362882977787843,2.022921829710778,1.0304020550550783,2.23606797749979,2.23606797749979,2.23606797749979,1.349073756323204,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,0.5863019699779287,0.2041241452319316,0.14966629547095772,2.5089613467008616,3.20894794890405,3.2007652146297256,4.485218779502289,1.0,1.0101525445522108,3.0669610365963242,2.8284271247461903,3.3571291193566175,4.6632137126854385,3.7548901448644276,4.856621959706575,11.253443917308159,1.0,1.0,0.4497460373445051,8.453079051715147,3.780834662320167,3.4357739953751767,2.7347240805253215,0.41573970964154894,1.0,1.0,1.0,1.5556349186104044,1.0
8,kpv_ikdp-ud-test_Case=Ter,1.159202311936963,1.3070322617798433,1.335065541462291,1.9168196013361787,2.6071722111850435,2.583305902860732,3.8395556383519174,2.23606797749979,1.1428571428571428,2.481179155159901,2.449489742783178,2.666112106020671,3.879852373205689,3.0363135542957354,4.128113650815537,10.403845442911962,2.23606797749979,2.23606797749979,1.1683587615888809,7.615773105863908,3.1048615571803193,2.777592676307192,2.1664347954612975,1.227262335243029,2.23606797749979,2.23606797749979,2.23606797749979,1.349073756323204,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,2.0558217484073102,2.3417607771535853,2.3828365877839026,1.3812442459485412,1.9559954926704044,1.905952009160905,3.0589186681517617,3.431546328418375,1.8070158058105021,1.793732000549669,2.2497165354319457,1.797272673379503,2.78421291661187,2.082682728343128,3.19475240163328,9.275994913358515,3.431546328418375,3.431546328418375,2.113327659217087,6.486463713209449,2.2678069187235845,1.9893388913463452,1.6269185712556464,2.2029778970784926,3.431546328418375,3.431546328418375,3.431546328418375,1.6374444997605013,3.431546328418375
