,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,egy_ujaen-ud-test_Case=Lat,0.2939723678960656,0.10649955403405117,0.28019779169211134
1,mdf_jr-ud-test_Case=Lat,33.59774757294466,33.73990082042923,33.60961601357931
2,myv_jr-ud-test_Case=Lat,8.636768257991573,8.775753952014574,8.64843644546397
3,myv_jr-ud-train_Case=Lat,10.683982635258971,10.824068634762897,10.69577846675963
4,sjo_xdt-ud-test_Case=Lat,0.2509626527721202,0.2214632234870564,0.24552318791199568
5,eu_bdt-ud-train_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
6,eu_bdt-ud-test_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
7,eu_bdt-ud-dev_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
8,fi_ftb-ud-dev_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
9,fi_ftb-ud-train_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
10,fi_ftb-ud-test_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
11,ab_abnc-ud-test_Case=Lat,1.259531560972737,1.08869426309121,1.2452843148017878
