,Treebank,hi_pud-ud-test_Case=Erg,ess_sli-ud-test_Case=Erg,mr_ufal-ud-dev_Case=Erg,mr_ufal-ud-test_Case=Erg,mr_ufal-ud-train_Case=Erg,wbp_ufal-ud-test_Case=Erg,ka_glc-ud-test_Case=Erg,eu_bdt-ud-train_Case=Erg,eu_bdt-ud-test_Case=Erg,eu_bdt-ud-dev_Case=Erg,gu_gujtb-ud-test_Case=Erg
0,hu_szeged-ud-dev_Case=Ter,0.5211573066470477,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328,1.469861839480328
1,hu_szeged-ud-test_Case=Ter,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,hu_szeged-ud-train_Case=Ter,0.15590239111558088,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056,1.1288514320120056
3,et_ewt-ud-train_Case=Ter,0.51478150704935,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161,1.4713938969562161
4,et_ewt-ud-test_Case=Ter,0.3535533905932738,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961
5,et_ewt-ud-dev_Case=Ter,0.282842712474619,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438,1.2165525060596438
6,olo_kkpp-ud-test_Case=Ter,1.4142135623730951,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,kpv_ikdp-ud-test_Case=Ter,1.4142135623730951,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979
9,kpv_lattice-ud-test_Case=Ter,2.4907993963089563,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375,3.431546328418375
10,et_edt-ud-dev_Case=Ter,0.18311646218632124,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286,1.1658100334413286
11,et_edt-ud-train_Case=Ter,0.25719503542143074,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732,1.2325679372360732
12,et_edt-ud-test_Case=Ter,0.30267496697538676,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147,1.2567485880964147
13,ab_abnc-ud-test_Case=Ter,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,gu_gujtb-ud-test_Case=Ter,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
