,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,hu_szeged-ud-dev_Case=Ter,10.655303553966,8.601558870744508
1,hu_szeged-ud-test_Case=Ter,11.062323444918793,9.000443983578798
2,hu_szeged-ud-train_Case=Ter,10.946048246843343,8.886520897487099
3,et_ewt-ud-train_Case=Ter,10.584894897919394,8.511992351932067
4,et_ewt-ud-test_Case=Ter,10.816653826391969,8.766317377821377
5,et_ewt-ud-dev_Case=Ter,10.82843478994079,8.746993181188536
6,olo_kkpp-ud-test_Case=Ter,10.216408370851275,8.175133602565033
7,vep_vwt-ud-test_Case=Ter,11.062323444918793,9.000443983578798
8,kpv_ikdp-ud-test_Case=Ter,10.216408370851275,8.17691913253885
9,kpv_lattice-ud-test_Case=Ter,9.040018737564111,7.013793836617709
10,et_edt-ud-dev_Case=Ter,10.894383938808357,8.826546885553883
11,et_edt-ud-train_Case=Ter,10.823131636105098,8.754409236146437
12,et_edt-ud-test_Case=Ter,10.789709525646586,8.714044372226523
13,ab_abnc-ud-test_Case=Ter,11.062323444918793,9.000443983578798
14,gu_gujtb-ud-test_Case=Ter,11.062323444918793,9.000443983578798
