,Treebank,am_att-ud-test_Case=Mal
0,ess_sli-ud-test_Case=Equ,1.16619037896906
1,gub_tudet-ud-test_Case=Equ,0.6
2,egy_ujaen-ud-test_Case=Equ,0.6
3,ky_ktmu-ud-test_Case=Equ,0.6
4,tt_nmctt-ud-test_Case=Equ,0.6
5,tr_gb-ud-test_Case=Equ,0.6
6,ota_boun-ud-train_Case=Equ,0.6
7,ota_boun-ud-test_Case=Equ,0.6
8,qtd_sagt-ud-test_Case=Equ,0.6
9,qtd_sagt-ud-dev_Case=Equ,0.6
10,qtd_sagt-ud-train_Case=Equ,0.6
11,tr_imst-ud-train_Case=Equ,0.6
12,tr_imst-ud-dev_Case=Equ,0.6
13,tr_imst-ud-test_Case=Equ,0.6
14,tr_boun-ud-dev_Case=Equ,0.6
15,tr_boun-ud-test_Case=Equ,0.6
16,tr_boun-ud-train_Case=Equ,0.6
