,Treebank,hi_pud-ud-test_Case=Erg,ess_sli-ud-test_Case=Erg,mr_ufal-ud-dev_Case=Erg,mr_ufal-ud-test_Case=Erg,mr_ufal-ud-train_Case=Erg,wbp_ufal-ud-test_Case=Erg,ka_glc-ud-test_Case=Erg,eu_bdt-ud-train_Case=Erg,eu_bdt-ud-test_Case=Erg,eu_bdt-ud-dev_Case=Erg,gu_gujtb-ud-test_Case=Erg
0,hu_szeged-ud-dev_Case=Tem,0.1767766952966369,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772,1.1319231422671772
1,hu_szeged-ud-test_Case=Tem,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,hu_szeged-ud-train_Case=Tem,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,fa_seraji-ud-dev_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,fa_seraji-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,fa_seraji-ud-train_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Tem,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,lzh_tuecl-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,apu_ufpa-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,egy_ujaen-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,nyq_aha-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,mdf_jr-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,mdf_jr-ud-train_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,myv_jr-ud-test_Case=Tem,1.5634719199411433,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221,2.472066162365221
14,myv_jr-ud-train_Case=Tem,3.5355339059327378,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313,4.301162633521313
15,kfm_aha-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,soj_aha-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,he_htb-ud-train_Case=Tem,7.3739406018763125,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915,8.299096336348915
18,lzh_kyoto-ud-dev_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,lzh_kyoto-ud-train_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,lzh_kyoto-ud-test_Case=Tem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,gu_gujtb-ud-test_Case=Tem,4.242640687119285,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
