,Treebank,hu_szeged-ud-dev_Case=Sbl,hu_szeged-ud-test_Case=Sbl,hu_szeged-ud-train_Case=Sbl
0,ess_sli-ud-test_Case=Equ,0.2858773475129578,0.20286823403356452,0.23092293421550486
1,gub_tudet-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
2,egy_ujaen-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
3,ky_ktmu-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
4,tt_nmctt-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
5,tr_gb-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
6,ota_boun-ud-train_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
7,ota_boun-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
8,qtd_sagt-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
9,qtd_sagt-ud-dev_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
10,qtd_sagt-ud-train_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
11,tr_imst-ud-train_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
12,tr_imst-ud-dev_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
13,tr_imst-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
14,tr_boun-ud-dev_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
15,tr_boun-ud-test_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
16,tr_boun-ud-train_Case=Equ,1.2622811750152136,1.1840852064015472,1.2136052062629963
