,Treebank,arr_tudet-ud-test_Case=Sim
0,el_gud-ud-train_Case=Voc,12.220201853215572
1,el_gud-ud-test_Case=Voc,14.33527118683145
2,fa_seraji-ud-dev_Case=Voc,0.0
3,fa_seraji-ud-test_Case=Voc,0.0
4,fa_seraji-ud-train_Case=Voc,0.0
5,sga_dipsgg-ud-test_Case=Voc,0.0
6,pl_pdb-ud-test_Case=Voc,6.202369527454974
7,pl_pdb-ud-train_Case=Voc,6.473643321286683
8,pl_pdb-ud-dev_Case=Voc,4.328972164382673
9,uk_iu-ud-dev_Case=Voc,0.0
10,uk_iu-ud-train_Case=Voc,41.86884283091664
11,uk_iu-ud-test_Case=Voc,0.0
12,sa_vedic-ud-test_Case=Voc,347.1296587732025
13,sa_vedic-ud-train_Case=Voc,159.23164714190312
14,sa_vedic-ud-dev_Case=Voc,415.10841957252563
15,kmr_mg-ud-test_Case=Voc,0.0
16,hr_set-ud-dev_Case=Voc,0.0
17,hr_set-ud-train_Case=Voc,34.0147027033899
18,hr_set-ud-test_Case=Voc,0.0
19,orv_rnc-ud-dev_Case=Voc,0.0
20,orv_rnc-ud-train_Case=Voc,59.679700624807644
21,orv_rnc-ud-test_Case=Voc,12.232129822725067
22,cpg_tuecl-ud-test_Case=Voc,25.39685019840059
23,la_circse-ud-test_Case=Voc,53.06913729592119
24,grc_perseus-ud-dev_Case=Voc,0.0
25,grc_perseus-ud-train_Case=Voc,0.0
26,grc_perseus-ud-test_Case=Voc,0.0
27,qpm_philotis-ud-train_Case=Voc,89.23564310296643
28,qpm_philotis-ud-dev_Case=Voc,0.0
29,qpm_philotis-ud-test_Case=Voc,0.0
30,la_perseus-ud-test_Case=Voc,0.0
31,la_perseus-ud-train_Case=Voc,0.0
32,sk_snk-ud-train_Case=Voc,0.0
33,lt_hse-ud-train_Case=Voc,0.0
34,ess_sli-ud-test_Case=Voc,0.0
35,hit_hittb-ud-test_Case=Voc,0.0
36,sa_ufal-ud-test_Case=Voc,0.0
37,be_hse-ud-train_Case=Voc,0.0
38,be_hse-ud-dev_Case=Voc,0.0
39,be_hse-ud-test_Case=Voc,0.0
40,cs_pud-ud-test_Case=Voc,0.0
41,orv_ruthenian-ud-test_Case=Voc,6.442049363362563
42,orv_ruthenian-ud-train_Case=Voc,8.18535277187245
43,orv_ruthenian-ud-dev_Case=Voc,0.0
44,ml_ufal-ud-test_Case=Voc,0.0
45,egy_ujaen-ud-test_Case=Voc,0.0
46,ro_nonstandard-ud-test_Case=Voc,21.99747460252856
47,ro_nonstandard-ud-dev_Case=Voc,71.67286794875729
48,ro_nonstandard-ud-train_Case=Voc,35.61385498182788
49,ro_simonero-ud-train_Case=Voc,2.23606797749979
50,mr_ufal-ud-dev_Case=Voc,0.0
51,mr_ufal-ud-test_Case=Voc,0.0
52,ro_tuecl-ud-test_Case=Voc,5.916079783099616
53,lt_alksnis-ud-test_Case=Voc,0.0
54,lt_alksnis-ud-dev_Case=Voc,0.0
55,lt_alksnis-ud-train_Case=Voc,0.0
56,vi_tuecl-ud-test_Case=Voc,0.0
57,cu_proiel-ud-train_Case=Voc,17.047292861502005
58,cu_proiel-ud-test_Case=Voc,17.792885568662104
59,cu_proiel-ud-dev_Case=Voc,21.63884630523281
60,la_llct-ud-dev_Case=Voc,0.0
61,la_llct-ud-train_Case=Voc,5.920251913225432
62,sr_set-ud-train_Case=Voc,0.0
63,la_proiel-ud-test_Case=Voc,11.220021786471223
64,la_proiel-ud-dev_Case=Voc,15.69500982265807
65,la_proiel-ud-train_Case=Voc,16.103129009260556
66,grc_proiel-ud-test_Case=Voc,11.984364814206884
67,grc_proiel-ud-train_Case=Voc,21.18994636992963
68,grc_proiel-ud-dev_Case=Voc,14.828182626336917
69,ru_taiga-ud-train_Case=Voc,0.0
70,ru_taiga-ud-dev_Case=Voc,0.0
71,ru_taiga-ud-test_Case=Voc,0.0
72,tpn_tudet-ud-test_Case=Voc,0.0
73,ga_idt-ud-train_Case=Voc,0.0
74,ga_idt-ud-test_Case=Voc,0.0
75,ga_idt-ud-dev_Case=Voc,0.0
76,ro_art-ud-test_Case=Voc,0.0
77,ru_syntagrus-ud-train_Case=Voc,33.36165463522455
78,ru_syntagrus-ud-dev_Case=Voc,0.0
79,ru_syntagrus-ud-test_Case=Voc,0.0
80,grc_ptnk-ud-train_Case=Voc,34.77067730142742
81,grc_ptnk-ud-dev_Case=Voc,9.0
82,grc_ptnk-ud-test_Case=Voc,0.0
83,orv_birchbark-ud-train_Case=Voc,14.348344852281743
84,orv_birchbark-ud-dev_Case=Voc,38.27822125206737
85,orv_birchbark-ud-test_Case=Voc,23.385358667337133
86,ltg_cairo-ud-test_Case=Voc,0.0
87,ru_poetry-ud-test_Case=Voc,0.0
88,ru_poetry-ud-dev_Case=Voc,0.0
89,ru_poetry-ud-train_Case=Voc,0.0
90,cs_fictree-ud-dev_Case=Voc,0.0
91,cs_fictree-ud-train_Case=Voc,421.5934060205401
92,cs_fictree-ud-test_Case=Voc,0.0
