,Treebank,ess_sli-ud-test_Case=Equ,gub_tudet-ud-test_Case=Equ,egy_ujaen-ud-test_Case=Equ,ky_ktmu-ud-test_Case=Equ,tt_nmctt-ud-test_Case=Equ,tr_gb-ud-test_Case=Equ,ota_boun-ud-train_Case=Equ,ota_boun-ud-test_Case=Equ,qtd_sagt-ud-test_Case=Equ,qtd_sagt-ud-dev_Case=Equ,qtd_sagt-ud-train_Case=Equ,tr_imst-ud-train_Case=Equ,tr_imst-ud-dev_Case=Equ,tr_imst-ud-test_Case=Equ,tr_boun-ud-dev_Case=Equ,tr_boun-ud-test_Case=Equ,tr_boun-ud-train_Case=Equ
0,el_gud-ud-train_Case=Voc,11.357816691600545,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572,12.220201853215572
1,el_gud-ud-test_Case=Voc,13.509256086106296,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145,14.33527118683145
2,fa_seraji-ud-dev_Case=Voc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,fa_seraji-ud-test_Case=Voc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,fa_seraji-ud-train_Case=Voc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,sga_dipsgg-ud-test_Case=Voc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,pl_pdb-ud-test_Case=Voc,5.454823740581938,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974,6.202369527454974
7,pl_pdb-ud-train_Case=Voc,5.6768159798800495,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683,6.473643321286683
8,pl_pdb-ud-dev_Case=Voc,3.5411862419251547,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673,4.328972164382673
9,uk_iu-ud-dev_Case=Voc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
