,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,hu_szeged-ud-dev_Case=Ade,3.5055759155950397,1.3375584099395434,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,3.502323827025296,1.3144621146642357,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,3.5489435047630726,1.2629330940315089,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,3.1713374331285262,1.7886065521032837,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,3.1077584781320167,1.897422799077966,1.897422799077966
5,et_ewt-ud-test_Case=Ade,3.1202006304544483,1.8771070193697335,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,2.9671451965288034,2.166296264635297,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,3.03534123269394,2.0006924009208644,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,3.248589437484111,1.6593171286204857,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,2.9608897753997563,2.1333499449356674,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,2.9489930373040805,2.160771997383269,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,2.9356638855597197,2.171466165088107,2.171466165088107
12,fi_pud-ud-test_Case=Ade,2.816093994613875,2.3950690043825595,2.3950690043825595
13,et_edt-ud-dev_Case=Ade,3.181091904224868,1.7767514466365293,1.7767514466365293
14,et_edt-ud-train_Case=Ade,3.1640625122182935,1.8041476170465596,1.8041476170465596
15,et_edt-ud-test_Case=Ade,3.2525568367920186,1.6708159613082763,1.6708159613082763
16,krl_kkpp-ud-test_Case=Ade,3.295282494529111,1.6152048534938224,1.6152048534938224
17,fi_ftb-ud-dev_Case=Ade,4.58257569495584,0.0,0.0
18,fi_ftb-ud-train_Case=Ade,4.58257569495584,0.0,0.0
19,fi_ftb-ud-test_Case=Ade,4.58257569495584,0.0,0.0
