,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,sah_yktdt-ud-test_Case=Cmp,5.634713834792322,1.0
1,ml_ufal-ud-test_Case=Cmp,5.979130371550699,2.23606797749979
2,egy_ujaen-ud-test_Case=Cmp,5.545268253204709,0.0
3,mdf_jr-ud-test_Case=Cmp,5.545268253204709,0.0
4,myv_jr-ud-test_Case=Cmp,5.545268253204709,0.0
5,myv_jr-ud-train_Case=Cmp,13.919410907075054,12.84523257866513
6,kpv_lattice-ud-test_Case=Cmp,5.545268253204709,0.0
7,sjo_xdt-ud-test_Case=Cmp,11.989578808281799,10.63014581273465
8,koi_uh-ud-train_Case=Cmp,5.545268253204709,0.0
9,gu_gujtb-ud-test_Case=Cmp,5.634713834792322,1.0
