,Treebank,egy_ujaen-ud-test_Case=Lat,mdf_jr-ud-test_Case=Lat,myv_jr-ud-test_Case=Lat,myv_jr-ud-train_Case=Lat,sjo_xdt-ud-test_Case=Lat,eu_bdt-ud-train_Case=Lat,eu_bdt-ud-test_Case=Lat,eu_bdt-ud-dev_Case=Lat,fi_ftb-ud-dev_Case=Lat,fi_ftb-ud-train_Case=Lat,fi_ftb-ud-test_Case=Lat,ab_abnc-ud-test_Case=Lat
0,hu_szeged-ud-dev_Case=Ess,1.6547190813232433,32.726863874310034,7.281258524358538,9.369235076511293,1.3904703298147856,2.49284690951645,2.49284690951645,2.49284690951645,2.49284690951645,2.49284690951645,2.49284690951645,2.49284690951645
1,hu_szeged-ud-test_Case=Ess,1.0647065323364933,33.10730433001153,7.835965819896008,9.909576968896268,0.800882325938087,1.9322525714823102,1.9322525714823102,1.9322525714823102,1.9322525714823102,1.9322525714823102,1.9322525714823102,1.9322525714823102
2,hu_szeged-ud-train_Case=Ess,0.6810352803144473,33.35216890095111,8.196864132501071,10.260535456647307,0.4181839972476066,1.5829800566512728,1.5829800566512728,1.5829800566512728,1.5829800566512728,1.5829800566512728,1.5829800566512728,1.5829800566512728
3,fi_ood-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,sms_giellagas-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,et_ewt-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,et_ewt-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,et_ewt-ud-dev_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,egy_ujaen-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,olo_kkpp-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,olo_kkpp-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,vep_vwt-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,fi_tdt-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,fi_tdt-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,fi_tdt-ud-dev_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,fi_pud-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,et_edt-ud-dev_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,et_edt-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,et_edt-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,sme_giella-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,sme_giella-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ka_glc-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,krl_kkpp-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,eu_bdt-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,eu_bdt-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,eu_bdt-ud-dev_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,fi_ftb-ud-dev_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,fi_ftb-ud-train_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,fi_ftb-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ab_abnc-ud-test_Case=Ess,1.0,34.677081768799404,9.717071966559976,11.769480071652476,1.202211503854459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
