,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,sl_ssj-ud-test_Case=Dat,2.416645175453408,7.539003699544129,3.237354116223063,3.237354116223063,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,2.375073098290287,7.183845689384543,3.702382866329317,3.702382866329317,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,2.439809321511349,7.628495982351074,3.1179361720571244,3.1179361720571244,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,3.5447986169270465,9.241106085259078,1.239102502759832,1.239102502759832,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,3.6084091688275373,9.310697878813823,1.1651494545412489,1.1651494545412489,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,3.565504490577209,9.261596984752133,1.2227021265001647,1.2227021265001647,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,2.397958315240833,7.739983652358415,3.1993621813334823,3.1993621813334823,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,3.2919196062294036,6.05754715631834,6.174337938564088,6.174337938564088,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,2.4251551601949943,7.830066984361746,3.045362818101901,3.045362818101901,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,3.5106979363083917,9.180141611108187,1.3133925536563698,1.3133925536563698,1.3133925536563698
10,tr_pud-ud-test_Case=Dat,3.161922304619997,5.370972552190934,6.339143832598542,6.339143832598542,6.339143832598542
11,es_gsd-ud-test_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
12,es_gsd-ud-dev_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
13,es_gsd-ud-train_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
14,de_hdt-ud-test_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
15,de_hdt-ud-train_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
16,de_hdt-ud-dev_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
17,sga_dipsgg-ud-test_Case=Dat,4.58257569495584,10.36822067666386,0.0,0.0,0.0
