,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,hu_szeged-ud-dev_Case=Tra,0.4823265376162594,1.5309310892394863,1.5309310892394863
1,hu_szeged-ud-test_Case=Tra,0.3908679799852857,1.1726039399558574,1.1726039399558574
2,hu_szeged-ud-train_Case=Tra,0.40573664145874494,1.1235657524150513,1.1235657524150513
3,fi_ood-ud-test_Case=Tra,2.2308920584384517,3.451894652855358,3.451894652855358
4,et_ewt-ud-train_Case=Tra,2.9472420714397387,4.0984566532751705,4.0984566532751705
5,et_ewt-ud-test_Case=Tra,2.934276286286457,4.100771455544949,4.100771455544949
6,et_ewt-ud-dev_Case=Tra,4.228602179076307,5.3378073681990434,5.3378073681990434
7,gub_tudet-ud-test_Case=Tra,1.3743685418725535,0.0,0.0
8,olo_kkpp-ud-test_Case=Tra,0.8192690730516788,1.932535608352669,1.932535608352669
9,mdf_jr-ud-test_Case=Tra,2.806861632183215,3.9567979478361033,3.9567979478361033
10,vep_vwt-ud-test_Case=Tra,2.6246692913372702,3.605551275463989,3.605551275463989
11,fi_tdt-ud-train_Case=Tra,3.0722115962609586,4.293306195252593,4.293306195252593
12,fi_tdt-ud-test_Case=Tra,4.3669610090958955,5.606948352043668,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,3.4681535272950206,4.688197948039311,4.688197948039311
14,myv_jr-ud-test_Case=Tra,4.491395712399735,5.756060406646084,5.756060406646084
15,myv_jr-ud-train_Case=Tra,10.89015865612414,12.167168939404103,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,1.3743685418725535,0.0,0.0
17,kpv_lattice-ud-test_Case=Tra,1.3743685418725535,0.0,0.0
18,tpn_tudet-ud-test_Case=Tra,0.381344926395313,1.4281039179389805,1.4281039179389805
19,fi_pud-ud-test_Case=Tra,8.156301399853522,9.375984796760866,9.375984796760866
20,et_edt-ud-dev_Case=Tra,3.5069575343653736,4.6850033295982945,4.6850033295982945
21,et_edt-ud-train_Case=Tra,3.161791350734297,4.346730359605627,4.346730359605627
22,et_edt-ud-test_Case=Tra,2.4710010105800055,3.641976368707614,3.641976368707614
23,krl_kkpp-ud-test_Case=Tra,0.41573970964154905,1.3562839573037448,1.3562839573037448
24,fi_ftb-ud-dev_Case=Tra,1.3743685418725535,0.0,0.0
25,fi_ftb-ud-train_Case=Tra,1.3743685418725535,0.0,0.0
26,fi_ftb-ud-test_Case=Tra,1.3743685418725535,0.0,0.0
27,eme_tudet-ud-test_Case=Tra,1.3324997394204456,2.453568829277059,2.453568829277059
28,aqz_tudet-ud-test_Case=Tra,1.3743685418725535,0.0,0.0
