,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,sah_yktdt-ud-test_Case=Cmp,11.062323444918793,9.000443983578798
1,ml_ufal-ud-test_Case=Cmp,9.968701018688442,7.982688793175709
2,egy_ujaen-ud-test_Case=Cmp,11.973930014828047,9.907268912419791
3,mdf_jr-ud-test_Case=Cmp,11.973930014828047,9.907268912419791
4,myv_jr-ud-test_Case=Cmp,11.973930014828047,9.907268912419791
5,myv_jr-ud-train_Case=Cmp,7.3739406018763125,7.071116788136566
6,kpv_lattice-ud-test_Case=Cmp,11.973930014828047,9.907268912419791
7,sjo_xdt-ud-test_Case=Cmp,8.965210538520553,8.123182510033908
8,koi_uh-ud-train_Case=Cmp,11.973930014828047,9.907268912419791
9,gu_gujtb-ud-test_Case=Cmp,11.062323444918793,9.000443983578798
