,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,egy_ujaen-ud-test_Case=Lat,5.634713834792322,1.0
1,mdf_jr-ud-test_Case=Lat,32.42298567374695,34.677081768799404
2,myv_jr-ud-test_Case=Lat,9.871383635338718,9.717071966559976
3,myv_jr-ud-train_Case=Lat,11.237021898929662,11.769480071652476
4,sjo_xdt-ud-test_Case=Lat,5.624305512683321,1.202211503854459
5,eu_bdt-ud-train_Case=Lat,5.545268253204709,0.0
6,eu_bdt-ud-test_Case=Lat,5.545268253204709,0.0
7,eu_bdt-ud-dev_Case=Lat,5.545268253204709,0.0
8,fi_ftb-ud-dev_Case=Lat,5.545268253204709,0.0
9,fi_ftb-ud-train_Case=Lat,5.545268253204709,0.0
10,fi_ftb-ud-test_Case=Lat,5.545268253204709,0.0
11,ab_abnc-ud-test_Case=Lat,5.545268253204709,0.0
