,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,hu_szeged-ud-dev_Case=All,3.5219901167298113,1.29172958692549,1.29172958692549
1,hu_szeged-ud-test_Case=All,3.574641412014609,1.2216165268919335,1.2216165268919335
2,hu_szeged-ud-train_Case=All,3.563261117822086,1.2334468765583195,1.2334468765583195
3,fi_ood-ud-test_Case=All,3.380757374349378,1.4885496183206106,1.4885496183206106
4,ess_sli-ud-test_Case=All,38.47076812334269,41.43669871020132,41.43669871020132
5,hit_hittb-ud-test_Case=All,3.7416573867739413,1.0,1.0
6,et_ewt-ud-train_Case=All,3.4441907098759925,1.3930450983353315,1.3930450983353315
7,et_ewt-ud-test_Case=All,3.397197040454442,1.4619432297123496,1.4619432297123496
8,et_ewt-ud-dev_Case=All,3.449212740136884,1.3878741802897074,1.3878741802897074
9,ml_ufal-ud-test_Case=All,2.449489742783178,4.58257569495584,4.58257569495584
10,egy_ujaen-ud-test_Case=All,4.58257569495584,0.0,0.0
11,olo_kkpp-ud-test_Case=All,3.5372866287897673,1.3016200966614866,1.3016200966614866
12,olo_kkpp-ud-train_Case=All,3.391164991562634,1.5811388300841898,1.5811388300841898
13,vep_vwt-ud-test_Case=All,3.586394041683404,1.2092238098144703,1.2092238098144703
14,fi_tdt-ud-train_Case=All,3.2182507329612435,1.734535185874498,1.734535185874498
15,fi_tdt-ud-test_Case=All,3.2085630949892945,1.7503098632872058,1.7503098632872058
16,fi_tdt-ud-dev_Case=All,3.4484284785959214,1.3901779182917564,1.3901779182917564
17,tpn_tudet-ud-test_Case=All,3.153481321404084,1.9002923751652299,1.9002923751652299
18,fi_pud-ud-test_Case=All,3.2826930058517454,1.6361461644880222,1.6361461644880222
19,et_edt-ud-dev_Case=All,3.412054332355053,1.4444051062310876,1.4444051062310876
20,et_edt-ud-train_Case=All,3.382309217337804,1.487667600355589,1.487667600355589
21,et_edt-ud-test_Case=All,3.3381693023445225,1.5561603904098478,1.5561603904098478
22,wbp_ufal-ud-test_Case=All,3.7416573867739413,1.0,1.0
23,arr_tudet-ud-test_Case=All,3.391164991562634,1.5811388300841898,1.5811388300841898
24,gn_oldtudet-ud-test_Case=All,3.082207001484488,1.5811388300841898,1.5811388300841898
25,eu_bdt-ud-train_Case=All,3.3525308387714774,1.5255948231765961,1.5255948231765961
26,eu_bdt-ud-test_Case=All,3.333774075545141,1.5624731402650052,1.5624731402650052
27,eu_bdt-ud-dev_Case=All,3.2641717141016504,1.6540550354272934,1.6540550354272934
28,fi_ftb-ud-dev_Case=All,4.58257569495584,0.0,0.0
29,fi_ftb-ud-train_Case=All,4.58257569495584,0.0,0.0
30,fi_ftb-ud-test_Case=All,4.58257569495584,0.0,0.0
31,eme_tudet-ud-test_Case=All,3.518610924408984,1.3166487815058465,1.3166487815058465
32,aqz_tudet-ud-test_Case=All,2.3908260879277794,2.634059909139933,2.634059909139933
33,gu_gujtb-ud-test_Case=All,3.7416573867739413,1.0,1.0
