,Treebank,egy_ujaen-ud-test_Case=Sub
0,hu_szeged-ud-dev_Case=Ter,1.7206085630266095
1,hu_szeged-ud-test_Case=Ter,1.3416407864998738
2,hu_szeged-ud-train_Case=Ter,1.4402449637320576
3,et_ewt-ud-train_Case=Ter,1.7219175357722565
4,et_ewt-ud-test_Case=Ter,1.5572411502397439
5,et_ewt-ud-dev_Case=Ter,1.50996688705415
6,olo_kkpp-ud-test_Case=Ter,2.23606797749979
7,vep_vwt-ud-test_Case=Ter,1.3416407864998738
8,kpv_ikdp-ud-test_Case=Ter,2.4083189157584592
9,kpv_lattice-ud-test_Case=Ter,3.546196582830911
10,et_edt-ud-dev_Case=Ter,1.4566755753244751
11,et_edt-ud-train_Case=Ter,1.5228997734264684
12,et_edt-ud-test_Case=Ter,1.5425359035310433
13,ab_abnc-ud-test_Case=Ter,1.3416407864998738
14,gu_gujtb-ud-test_Case=Ter,1.3416407864998738
