,Treebank,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,hu_szeged-ud-dev_Case=Ela,0.10112587531821468,1.359435279995599,1.0827689526491961,1.0827689526491961,1.0827689526491961,11.932669643505482,1.0827689526491961,9.842514480940515,1.0827689526491961,0.10112587531821468
1,hu_szeged-ud-test_Case=Ela,0.16659862556700852,1.3198639385658397,1.146066921150376,1.146066921150376,1.146066921150376,11.881523986631427,1.146066921150376,9.799375240393687,1.146066921150376,0.16659862556700852
2,hu_szeged-ud-train_Case=Ela,0.27216552697590873,1.264074205845368,1.2450962012087863,1.2450962012087863,1.2450962012087863,11.803057625554885,1.2450962012087863,9.733485539144791,1.2450962012087863,0.27216552697590873
3,fi_ood-ud-test_Case=Ela,1.1201926861291118,1.109450115259254,2.068522117325686,2.068522117325686,2.068522117325686,11.077721313445673,2.068522117325686,9.224270539365076,2.068522117325686,1.1201926861291118
4,et_ewt-ud-train_Case=Ela,0.763760760418742,1.0812904720813927,1.731320857985841,1.731320857985841,1.731320857985841,11.361706782178718,1.731320857985841,9.41723635681751,1.731320857985841,0.763760760418742
5,et_ewt-ud-test_Case=Ela,0.7754788325534144,1.0897588340041713,1.7364217584408124,1.7364217584408124,1.7364217584408124,11.364554173291156,1.7364217584408124,9.418323401519002,1.7364217584408124,0.7754788325534144
6,et_ewt-ud-dev_Case=Ela,0.8063799251291472,1.0899004506162202,1.7642602345031582,1.7642602345031582,1.7642602345031582,11.34051312026767,1.7642602345031582,9.4028553877993,1.7642602345031582,0.8063799251291472
7,egy_ujaen-ud-test_Case=Ela,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
8,olo_kkpp-ud-test_Case=Ela,0.45175395145262554,1.2009066869446183,1.4021363680319483,1.4021363680319483,1.4021363680319483,11.646143269822181,1.4021363680319483,9.636947042467325,1.4021363680319483,0.45175395145262554
9,olo_kkpp-ud-train_Case=Ela,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
10,mdf_jr-ud-test_Case=Ela,19.8158185969358,18.93849694845572,20.728402414722332,20.728402414722332,20.728402414722332,13.241349377360804,20.728402414722332,14.988884770611412,20.728402414722332,19.8158185969358
11,mdf_jr-ud-train_Case=Ela,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
