,Treebank,hi_pud-ud-test_Case=Erg,ess_sli-ud-test_Case=Erg,mr_ufal-ud-dev_Case=Erg,mr_ufal-ud-test_Case=Erg,mr_ufal-ud-train_Case=Erg,wbp_ufal-ud-test_Case=Erg,ka_glc-ud-test_Case=Erg,eu_bdt-ud-train_Case=Erg,eu_bdt-ud-test_Case=Erg,eu_bdt-ud-dev_Case=Erg,gu_gujtb-ud-test_Case=Erg
0,sl_ssj-ud-test_Case=Loc,1.696228630811666,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,1.692132258571466,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,1.6752759658021141,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,hu_szeged-ud-train_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,fa_seraji-ud-dev_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fa_seraji-ud-test_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,fa_seraji-ud-train_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,tr_pud-ud-test_Case=Loc,1033.9206932835807,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772,1034.690775062772
11,pl_pdb-ud-test_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,pl_pdb-ud-train_Case=Loc,18056.1882466926,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642,18057.104502106642
13,pl_pdb-ud-dev_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,uk_iu-ud-dev_Case=Loc,1.608509785660613,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375,2.5312407050621375
15,uk_iu-ud-train_Case=Loc,1.6390674756400339,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683,2.5631727626677683
16,uk_iu-ud-test_Case=Loc,1.6067778252627123,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706,2.533995936859706
17,sa_vedic-ud-test_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,sa_vedic-ud-train_Case=Loc,2097.877445843245,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088,2098.8328767304088
19,sa_vedic-ud-dev_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,bn_bru-ud-test_Case=Loc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,hr_set-ud-dev_Case=Loc,1.6194512683318383,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767,2.5506280728351767
22,hr_set-ud-train_Case=Loc,1.6071489192074304,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997,2.5407626679910997
